Lower	Upper	Weight
-5  0   1
0	1	1340186
1	2	3297791
2	3	52717
3	4	280118
4	5	5286
5	6	1573
6	7	2308
7	8	1297
8	9	965
9	10	1226
10	11	1362
11	12	1329
12	13	2051
13	14	1414
14	15	1932
15	16	1739
16	17	664
17	18	717
18	19	468
19	20	467
20	21	329
21	22	330
22	23	271
23	24	261
24	25	239
25	26	252
26	27	231
27	28	218
28	29	196
29	30	200
30	31	178
31	32	173
32	33	175
33	34	148
34	35	132
35	36	128
36	37	106
37	38	103
38	39	83
39	40	73
40	41	63
41	42	57
42	43	40
43	44	55
44	45	36
45	46	28
46	47	24
47	48	26
48	49	31
49	50	15
50	51	18
51	52	18
52	53	15
53	54	13
54	55	10
55	56	5
56	57	9
57	58	13
58	59	12
59	60	10
60	61	2
61	62	5
62	63	3
63	64	6
64	65	9
65	66	5
66	67	1
67	68	3
68	69	2
69	70	1
70	71	1
71	72	3
72	73	2
73	74	5
74	75	1
75	76	7
76	77	0
77	78	0
78	79	0
79	80	0
80	81	1
81	82	1
82	83	0
83	84	0
84	85	0
85	86	2
86	87	5
87	88	0
88	89	1
89	90	0
90	91	0
91	92	0
92	93	0
93	94	0
94	95	0
95	96	0
96	97	0
97	98	0
98	99	0
99	100	0
100 101 1
