Lower	Upper	Weight
-5  0   1
0	1	0
1	2	0
2	3	0
3	4	0
4	5	0
5	6	0
6	7	0
7	8	0
8	9	0
9	10	0
10	11	0
11	12	1
12	13	0
13	14	5
14	15	2
15	16	0
16	17	0
17	18	0
18	19	1
19	20	1
20	21	0
21	22	0
22	23	0
23	24	0
24	25	7
25	26	1
26	27	5
27	28	2
28	29	3
29	30	1
30	31	1
31	32	2
32	33	3
33	34	1
34	35	5
35	36	9
36	37	6
37	38	3
38	39	5
39	40	2
40	41	10
41	42	12
42	43	13
43	44	9
44	45	5
45	46	10
46	47	13
47	48	15
48	49	18
49	50	18
50	51	15
51	52	31
52	53	26
53	54	24
54	55	28
55	56	36
56	57	55
57	58	40
58	59	57
59	60	63
60	61	73
61	62	83
62	63	103
63	64	106
64	65	128
65	66	132
66	67	148
67	68	175
68	69	173
69	70	178
70	71	200
71	72	196
72	73	218
73	74	231
74	75	252
75	76	239
76	77	261
77	78	271
78	79	330
79	80	329
80	81	467
81	82	468
82	83	717
83	84	664
84	85	1739
85	86	1932
86	87	1414
87	88	2051
88	89	1329
89	90	1362
90	91	1226
91	92	965
92	93	1297
93	94	2308
94	95	1573
95	96	5286
96	97	280118
97	98	52717
98	99	3297791
99	100	1218845
100 101 1218845
