Lower	Upper	Weight
0	100	607055
100	200	1093370
200	300	143194
300	400	58112
400	500	80987
500	600	155211
600	700	220399
700	800	376597
800	900	691981
900	1000	1327208
1000	1100	463398
1100	1200	1227831
1200	1300	557678
1300	1400	537169
1400	1500	444344
1500	1600	463929
1600	1700	437205
1700	1800	438639
1800	1900	478288
1900	2000	488216
2000	2100	528497
2100	2200	536114
2200	2300	525939
2300	2400	518323
2400	2500	508693
2500	2600	504477
2600	2700	494215
2700	2800	472664
2800	2900	443673
2900	3000	413038
3000	3100	376788
3100	3200	339754
3200	3300	304461
3300	3400	271719
3400	3500	247091
3500	3600	223485
3600	3700	202898
3700	3800	184936
3800	3900	169754
3900	4000	153121
4000	4100	143087
4100	4200	127678
4200	4300	118746
4300	4400	107088
4400	4500	100386
4500	4600	89143
4600	4700	85638
4700	4800	77272
4800	4900	71433
4900	5000	64674
5000	5100	60429
5100	5200	54342
5200	5300	48562
5300	5400	41424
5400	5500	34601
5500	5600	34321
5600	5700	32632
5700	5800	29773
5800	5900	21278
5900	6000	66684
6000	6100	13019
6100	6200	9314
6200	6300	1883
6300	6400	1494
6400	6500	16573
6500	6600	825
6600	6700	10254
6700	6800	116158
6800	6900	373
6900	7000	6928
7000	7100	196
7100	7200	141
7200	7300	81
7300	7400	44
7400	7500	31
7500	7600	11
7600	7700	6
7700	7800	2
7800	7900	344
