x y misc misc2
1.603 0.445 123.000 2407.691
1.904 0.546 124.000 2447.742
2.205 0.671 125.000 2486.208
2.495 0.838 125.000 2485.936
2.796 0.989 123.000 2411.350
3.096 1.114 124.000 2446.960
3.398 1.268 123.000 2408.065
3.699 1.375 122.000 2369.984
4.001 1.617 120.000 2286.758
4.300 1.785 121.000 2329.835
4.600 1.945 121.000 2328.083
4.901 2.105 120.000 2284.000
5.200 2.248 121.000 2324.165
5.500 2.406 121.000 2324.165
5.802 2.581 121.000 2327.702
6.101 2.739 120.000 2286.758
6.393 2.976 124.000 2450.540
6.694 3.184 123.000 2407.350
6.996 3.369 123.000 2408.374
7.296 3.526 127.000 2572.992
7.596 3.723 125.000 2486.368
8.198 4.063 131.000 2753.802
8.497 4.289 131.000 2813.267
8.797 4.509 136.000 3072.875
9.396 4.928 135.000 3127.941
