Energy Rate
1.000000000000000056e-01 3.999999960000000243e-02
2.500000000000000000e-01 2.793202284999999827e-02
5.000000000000000000e-01 1.971143116500000125e-02
7.500000000000000000e-01 1.516340195500000092e-02
1.000000000000000000e+00 1.220329648499999739e-02
1.250000000000000000e+00 1.010169875499999925e-02
1.500000000000000000e+00 8.527736265000000412e-03
1.750000000000000000e+00 7.305392510000000526e-03
2.000000000000000000e+00 6.330515470000000824e-03
2.250000000000000000e+00 5.537231039999999938e-03
2.500000000000000000e+00 4.881240265000000474e-03
2.750000000000000000e+00 4.331425435000000289e-03
3.000000000000000000e+00 3.865276999999999862e-03
3.250000000000000000e+00 3.466132892499999927e-03
3.500000000000000000e+00 3.121498067500000275e-03
3.750000000000000000e+00 2.821802881999999502e-03
4.000000000000000000e+00 2.559559689499999943e-03
4.250000000000000000e+00 2.328832348999999770e-03
4.500000000000000000e+00 2.124809393999999799e-03
4.750000000000000000e+00 1.943595325500000002e-03
5.000000000000000000e+00 1.781984896000000018e-03
5.250000000000000000e+00 1.637319919999999937e-03
5.500000000000000000e+00 1.507392147500000038e-03
5.750000000000000000e+00 1.390333107000000113e-03
6.000000000000000000e+00 1.284578919499999991e-03
6.250000000000000000e+00 1.188792298000000041e-03
6.500000000000000000e+00 1.101816265500000060e-03
6.750000000000000000e+00 1.022676673500000051e-03
7.000000000000000000e+00 9.505132169999999442e-04
7.250000000000000000e+00 8.845860045000000131e-04
7.500000000000000000e+00 8.242394595000000551e-04
7.750000000000000000e+00 7.689079049999999506e-04
8.000000000000000000e+00 7.180849035000000944e-04
8.250000000000000000e+00 6.713288780000000767e-04
8.500000000000000000e+00 6.282461760000000034e-04
8.750000000000000000e+00 5.884869084999999915e-04
9.000000000000000000e+00 5.517421394999999073e-04
9.250000000000000000e+00 5.177402360000000732e-04
9.500000000000000000e+00 4.862324505000000050e-04
9.750000000000000000e+00 4.569990895000000013e-04
1.000000000000000000e+01 4.298478709999999548e-04
1.025000000000000000e+01 4.046004559999999352e-04
1.050000000000000000e+01 3.810989089999999619e-04
1.075000000000000000e+01 3.592012158000000132e-04
1.100000000000000000e+01 3.387788525999999609e-04
1.125000000000000000e+01 3.197125446999999937e-04
1.150000000000000000e+01 3.018978619500000088e-04
1.175000000000000000e+01 2.852392509999999840e-04
1.200000000000000000e+01 2.696477175499999699e-04
1.225000000000000000e+01 2.550426440499999926e-04
1.250000000000000000e+01 2.413531621000000130e-04
1.275000000000000000e+01 2.285108743499999736e-04
1.300000000000000000e+01 2.164544097000000117e-04
1.325000000000000000e+01 2.051283027499999881e-04
1.350000000000000000e+01 1.944818513500000292e-04
1.375000000000000000e+01 1.844675762999999980e-04
1.400000000000000000e+01 1.750422141499999881e-04
1.425000000000000000e+01 1.661660309999999925e-04
1.450000000000000000e+01 1.578016836999999919e-04
1.475000000000000000e+01 1.499149498499999927e-04
1.500000000000000000e+01 1.424750526500000083e-04
1.525000000000000000e+01 1.354537301500000101e-04
1.550000000000000000e+01 1.288230781000000149e-04
1.575000000000000000e+01 1.225579881500000025e-04
1.600000000000000000e+01 1.166368632499999923e-04
1.625000000000000000e+01 1.110360404499999835e-04
1.650000000000000000e+01 1.057376274499999914e-04
1.675000000000000000e+01 1.007211075999999957e-04
1.700000000000000000e+01 9.597109249999997581e-05
1.725000000000000000e+01 9.146981760000000587e-05
1.750000000000000000e+01 8.720348224999998233e-05
1.775000000000000000e+01 8.315807409999999972e-05
1.800000000000000000e+01 7.931981075000000354e-05
1.825000000000000000e+01 7.567693189999999631e-05
1.850000000000000000e+01 7.221886349999999746e-05
1.875000000000000000e+01 6.893435260000000699e-05
1.900000000000000000e+01 6.581379969999998829e-05
1.925000000000000000e+01 6.284771115000000222e-05
1.950000000000000000e+01 6.002771385000000556e-05
1.975000000000000000e+01 5.734576319999999769e-05
2.000000000000000000e+01 5.479445335000000068e-05
2.025000000000000000e+01 5.236666315000000757e-05
2.050000000000000000e+01 5.005574959999999275e-05
2.075000000000000000e+01 4.785550405000000293e-05
2.100000000000000000e+01 4.576011204999999777e-05
2.125000000000000000e+01 4.376413875000000438e-05
2.150000000000000000e+01 4.186228800000000119e-05
2.175000000000000000e+01 4.004973085000000118e-05
2.200000000000000000e+01 3.832178435000000317e-05
2.225000000000000000e+01 3.667432400000000120e-05
2.250000000000000000e+01 3.510303148499999723e-05
2.275000000000000000e+01 3.360435973499999982e-05
2.300000000000000000e+01 3.217476460000000016e-05
2.325000000000000000e+01 3.081037634999999724e-05
2.350000000000000000e+01 2.950807350499999867e-05
2.375000000000000000e+01 2.826490248499999980e-05
2.400000000000000000e+01 2.707816082999999724e-05
2.425000000000000000e+01 2.594461902000000394e-05
2.450000000000000000e+01 2.486177497999999831e-05
2.475000000000000000e+01 2.382761281500000587e-05
2.500000000000000000e+01 2.283924683499999615e-05
2.525000000000000000e+01 2.189460712500000073e-05
2.550000000000000000e+01 2.099190518500000020e-05
2.575000000000000000e+01 2.012863310000000092e-05
2.600000000000000000e+01 1.930341263000000083e-05
2.625000000000000000e+01 1.851401252999999961e-05
2.650000000000000000e+01 1.775904799000000206e-05
2.675000000000000000e+01 1.703673561999999737e-05
2.700000000000000000e+01 1.634553913500000065e-05
2.725000000000000000e+01 1.568410146499999748e-05
2.750000000000000000e+01 1.505094472499999968e-05
2.775000000000000000e+01 1.444480236499999848e-05
2.800000000000000000e+01 1.386444105000000023e-05
2.825000000000000000e+01 1.330858400999999932e-05
2.850000000000000000e+01 1.277632422000000016e-05
2.875000000000000000e+01 1.226626519000000076e-05
2.900000000000000000e+01 1.177775320500000053e-05
2.925000000000000000e+01 1.130954251999999997e-05
2.950000000000000000e+01 1.086085750999999988e-05
2.975000000000000000e+01 1.043084480500000164e-05
3.000000000000000000e+01 1.001847072500000115e-05
3.025000000000000000e+01 9.623268800000000158e-06
3.050000000000000000e+01 9.244250609999999933e-06
3.075000000000000000e+01 8.880689439999998487e-06
3.100000000000000000e+01 8.532135974999999754e-06
3.125000000000000000e+01 8.197732829999999327e-06
3.150000000000000000e+01 7.876851109999999812e-06
3.175000000000000000e+01 7.569063765000000676e-06
3.200000000000000000e+01 7.273748834999999718e-06
3.225000000000000000e+01 6.990315750000000395e-06
3.250000000000000000e+01 6.718246939999999920e-06
3.275000000000000000e+01 6.457193099999999730e-06
3.300000000000000000e+01 6.206591765000000518e-06
3.325000000000000000e+01 5.965995445000000450e-06
3.350000000000000000e+01 5.734962489999999394e-06
3.375000000000000000e+01 5.513189220000001131e-06
3.400000000000000000e+01 5.300257710000000007e-06
3.425000000000000000e+01 5.095769379999999871e-06
3.450000000000000000e+01 4.899351929999999954e-06
3.475000000000000000e+01 4.710689999999999786e-06
3.500000000000000000e+01 4.529508379999999906e-06
3.525000000000000000e+01 4.355489884999999682e-06
3.550000000000000000e+01 4.188321710000000392e-06
3.575000000000000000e+01 4.027724994999999713e-06
3.600000000000000000e+01 3.873417229999999235e-06
3.625000000000000000e+01 3.725156055000000287e-06
3.650000000000000000e+01 3.582681079000000099e-06
3.675000000000000000e+01 3.445792683500000093e-06
3.700000000000000000e+01 3.314261648500000136e-06
3.725000000000000000e+01 3.187856272000000201e-06
3.750000000000000000e+01 3.066384673500000343e-06
3.775000000000000000e+01 2.949614129000000003e-06
3.800000000000000000e+01 2.837385169999999498e-06
3.825000000000000000e+01 2.729515990000000064e-06
3.850000000000000000e+01 2.625821205500000234e-06
3.875000000000000000e+01 2.526130032999999831e-06
3.900000000000000000e+01 2.430295669500000276e-06
3.925000000000000000e+01 2.338160471499999931e-06
3.950000000000000000e+01 2.249578950000000113e-06
3.975000000000000000e+01 2.164410324499999897e-06
4.000000000000000000e+01 2.082516880499999949e-06
4.025000000000000000e+01 2.003769042999999813e-06
4.050000000000000000e+01 1.928045157499999967e-06
4.075000000000000000e+01 1.855225686500000205e-06
4.100000000000000000e+01 1.785195983499999960e-06
4.125000000000000000e+01 1.717846256500000125e-06
4.150000000000000000e+01 1.653071166499999856e-06
4.175000000000000000e+01 1.590765812500000106e-06
4.200000000000000000e+01 1.530836207000000179e-06
4.225000000000000000e+01 1.473189712999999778e-06
4.250000000000000000e+01 1.417736175499999985e-06
4.275000000000000000e+01 1.364389856000000064e-06
4.300000000000000000e+01 1.313070052999999866e-06
4.325000000000000000e+01 1.263690590000000031e-06
4.350000000000000000e+01 1.216178941500000000e-06
4.375000000000000000e+01 1.170466888999999910e-06
4.400000000000000000e+01 1.126484936499999867e-06
4.425000000000000000e+01 1.084155667499999889e-06
4.450000000000000000e+01 1.043422397500000024e-06
4.475000000000000000e+01 1.004225083999999995e-06
4.500000000000000000e+01 9.665020785000000543e-07
4.525000000000000000e+01 9.302007114999998857e-07
4.550000000000000000e+01 8.952652839999999879e-07
4.575000000000000000e+01 8.616348044999998194e-07
4.600000000000000000e+01 8.292666775000000313e-07
4.625000000000000000e+01 7.981005685000000304e-07
4.650000000000000000e+01 7.681062919999998508e-07
4.675000000000000000e+01 7.392250465000000134e-07
4.700000000000000000e+01 7.114251135000000737e-07
4.725000000000000000e+01 6.846638244999998884e-07
4.750000000000000000e+01 6.589061029999999609e-07
4.775000000000000000e+01 6.341028199999999529e-07
4.800000000000000000e+01 6.102205779999999998e-07
4.825000000000000000e+01 5.872265999999999996e-07
4.850000000000000000e+01 5.650827069999999480e-07
4.875000000000000000e+01 5.437636045000000455e-07
4.900000000000000000e+01 5.232410414999999851e-07
4.925000000000000000e+01 5.034801240000000322e-07
4.950000000000000000e+01 4.844494255000000603e-07
4.975000000000000000e+01 4.661240165000000587e-07
5.000000000000000000e+01 4.484732005000000078e-07
5.025000000000000000e+01 4.314797130000000141e-07
5.050000000000000000e+01 4.151213985000000181e-07
5.075000000000000000e+01 3.993676335000000004e-07
5.100000000000000000e+01 3.841921015000000010e-07
5.125000000000000000e+01 3.695780854999999949e-07
5.150000000000000000e+01 3.555070288999999331e-07
5.175000000000000000e+01 3.419620139499999889e-07
5.200000000000000000e+01 3.289163153499999792e-07
5.225000000000000000e+01 3.163522999499999917e-07
5.250000000000000000e+01 3.042499876500000015e-07
5.275000000000000000e+01 2.926011294499999965e-07
5.300000000000000000e+01 2.813852159999999644e-07
5.325000000000000000e+01 2.705816868500000041e-07
5.350000000000000000e+01 2.601770552499999764e-07
5.375000000000000000e+01 2.501595025000000066e-07
5.400000000000000000e+01 2.405167755499999729e-07
5.425000000000000000e+01 2.312283833000000355e-07
5.450000000000000000e+01 2.222831786499999975e-07
5.475000000000000000e+01 2.136709853999999868e-07
5.500000000000000000e+01 2.053816602000000065e-07
5.525000000000000000e+01 1.973975443499999881e-07
5.550000000000000000e+01 1.897090310500000123e-07
5.575000000000000000e+01 1.823086377999999886e-07
5.600000000000000000e+01 1.751857430999999805e-07
5.625000000000000000e+01 1.683259805500000141e-07
5.650000000000000000e+01 1.617199660000000039e-07
5.675000000000000000e+01 1.553649655999999909e-07
5.700000000000000000e+01 1.492461165499999951e-07
5.725000000000000000e+01 1.433548523000000064e-07
5.750000000000000000e+01 1.376852306500000000e-07
5.775000000000000000e+01 1.322305794000000029e-07
5.800000000000000000e+01 1.269787294500000023e-07
5.825000000000000000e+01 1.219224428500000111e-07
5.850000000000000000e+01 1.170602668999999981e-07
5.875000000000000000e+01 1.123796930499999868e-07
5.900000000000000000e+01 1.078746878499999921e-07
5.925000000000000000e+01 1.035422327499999857e-07
5.950000000000000000e+01 9.937293629999999047e-08
5.975000000000000000e+01 9.536060444999999987e-08
6.000000000000000000e+01 9.150213105000000394e-08
6.025000000000000000e+01 8.779037304999999464e-08
6.050000000000000000e+01 8.421855604999998300e-08
6.075000000000000000e+01 8.078413235000000228e-08
6.100000000000000000e+01 7.748154300000000180e-08
6.125000000000000000e+01 7.430374715000000278e-08
6.150000000000000000e+01 7.124886869999999448e-08
6.175000000000000000e+01 6.831181589999999576e-08
6.200000000000000000e+01 6.548640565000000264e-08
6.225000000000000000e+01 6.277116335000000498e-08
6.250000000000000000e+01 6.016065780000000525e-08
6.275000000000000000e+01 5.765032650000000323e-08
6.300000000000000000e+01 5.523853789999999250e-08
6.325000000000000000e+01 5.292010170000000105e-08
6.350000000000000000e+01 5.069118905000000195e-08
6.375000000000000000e+01 4.855067574999999750e-08
6.400000000000000000e+01 4.649341529999999986e-08
6.425000000000000000e+01 4.451575039999999956e-08
6.450000000000000000e+01 4.261761899999999918e-08
6.475000000000000000e+01 4.079292195000000413e-08
6.500000000000000000e+01 3.904059344999999563e-08
6.525000000000000000e+01 3.735814055000000038e-08
6.550000000000000000e+01 3.574158255999999997e-08
6.575000000000000000e+01 3.419021758499999973e-08
6.600000000000000000e+01 3.270052045500000203e-08
6.625000000000000000e+01 3.126959088000000202e-08
6.650000000000000000e+01 2.989744601500000343e-08
6.675000000000000000e+01 2.857919887500000079e-08
6.700000000000000000e+01 2.731483814500000481e-08
6.725000000000000000e+01 2.610147995999999808e-08
