Energy Rate
1.000000000000000021e-02 3.403773823999999837e-01
1.100000000000000006e-01 3.404044672000000049e-01
2.099999999999999922e-01 3.404347007999999897e-01
3.099999999999999978e-01 3.404657472000000573e-01
4.099999999999999756e-01 3.404972096000000725e-01
5.100000000000000089e-01 3.405289280000000640e-01
6.099999999999999867e-01 3.405608256000000056e-01
7.099999999999999645e-01 3.405928448000000164e-01
8.100000000000000533e-01 3.406249536000000022e-01
9.100000000000000311e-01 3.406571264000000099e-01
1.010000000000000009e+00 3.406893568000000094e-01
1.110000000000000098e+00 3.407216191999999921e-01
1.209999999999999964e+00 3.407539136000000690e-01
1.310000000000000053e+00 3.407862272000000137e-01
1.409999999999999920e+00 3.408185536000000182e-01
1.510000000000000009e+00 3.408508864000000527e-01
1.610000000000000098e+00 3.408832256000000616e-01
1.709999999999999964e+00 3.409155648000000149e-01
1.810000000000000053e+00 3.409479040000000238e-01
1.909999999999999920e+00 3.409802303999999729e-01
2.009999999999999787e+00 3.410125504000000030e-01
2.109999999999999876e+00 3.410448640000000031e-01
2.209999999999999964e+00 3.410771647999999989e-01
2.310000000000000053e+00 3.411094527999999904e-01
2.410000000000000142e+00 3.411417216000000585e-01
2.509999999999999787e+00 3.411739776000000113e-01
2.609999999999999876e+00 3.412062144000000408e-01
2.709999999999999964e+00 3.412384384000000104e-01
2.810000000000000053e+00 3.412706368000000823e-01
2.910000000000000142e+00 3.413028224000000388e-01
3.009999999999999787e+00 3.413349888000000720e-01
3.109999999999999876e+00 3.413671295999999855e-01
3.209999999999999964e+00 3.413992576000000057e-01
3.310000000000000053e+00 3.414313600000000171e-01
3.410000000000000142e+00 3.414634431999999942e-01
3.509999999999999787e+00 3.414955072000000480e-01
3.609999999999999876e+00 3.415275455999999821e-01
3.709999999999999964e+00 3.415595712000000783e-01
3.810000000000000053e+00 3.415915712000000548e-01
3.910000000000000142e+00 3.416235584000000269e-01
4.009999999999999787e+00 3.416555199999999903e-01
4.110000000000000320e+00 3.416874623999999749e-01
4.209999999999999964e+00 3.417193920000000662e-01
4.309999999999999609e+00 3.417513024000000676e-01
4.410000000000000142e+00 3.417831935999999793e-01
4.509999999999999787e+00 3.418150719999999976e-01
4.610000000000000320e+00 3.418469312000000371e-01
4.709999999999999964e+00 3.418787711999999868e-01
4.809999999999999609e+00 3.419106048000000730e-01
4.910000000000000142e+00 3.419424192000000140e-01
5.009999999999999787e+00 3.419742271999999805e-01
5.110000000000000320e+00 3.420060160000000238e-01
5.209999999999999964e+00 3.420377983999999816e-01
5.309999999999999609e+00 3.420695680000000460e-01
5.410000000000000142e+00 3.421013247999999951e-01
5.509999999999999787e+00 3.421330815999999997e-01
5.610000000000000320e+00 3.421648256000000554e-01
5.709999999999999964e+00 3.421965632000000812e-01
5.809999999999999609e+00 3.422282944000000771e-01
5.910000000000000142e+00 3.422600192000000430e-01
6.009999999999999787e+00 3.422917440000000089e-01
6.110000000000000320e+00 3.423234687999999748e-01
6.209999999999999964e+00 3.423551872000000218e-01
6.309999999999999609e+00 3.423869056000000133e-01
6.410000000000000142e+00 3.424186240000000048e-01
6.509999999999999787e+00 3.424503424000000518e-01
6.610000000000000320e+00 3.424820672000000177e-01
6.709999999999999964e+00 3.425137919999999836e-01
6.809999999999999609e+00 3.425455168000000050e-01
6.910000000000000142e+00 3.425772543999999753e-01
7.009999999999999787e+00 3.426089920000000011e-01
7.110000000000000320e+00 3.426407423999999757e-01
7.209999999999999964e+00 3.426724991999999803e-01
7.309999999999999609e+00 3.427042624000000148e-01
7.410000000000000142e+00 3.427360383999999982e-01
7.509999999999999787e+00 3.427678208000000670e-01
7.610000000000000320e+00 3.427996224000000591e-01
7.709999999999999964e+00 3.428314304000000812e-01
7.809999999999999609e+00 3.428632512000000521e-01
7.910000000000000142e+00 3.428950912000000018e-01
8.009999999999999787e+00 3.429269440000000113e-01
8.109999999999999432e+00 3.429588160000000552e-01
8.210000000000000853e+00 3.429907007999999924e-01
8.310000000000000497e+00 3.430226111999999938e-01
8.410000000000000142e+00 3.430545343999999996e-01
8.509999999999999787e+00 3.430864768000000398e-01
8.609999999999999432e+00 3.431184384000000587e-01
8.710000000000000853e+00 3.431504255999999753e-01
8.810000000000000497e+00 3.431824319999999817e-01
8.910000000000000142e+00 3.432144639999999969e-01
9.009999999999999787e+00 3.432465216000000208e-01
9.109999999999999432e+00 3.432785984000000234e-01
9.210000000000000853e+00 3.433107007999999793e-01
9.310000000000000497e+00 3.433428288000000550e-01
9.410000000000000142e+00 3.433749823999999728e-01
9.509999999999999787e+00 3.434071679999999849e-01
9.609999999999999432e+00 3.434393792000000611e-01
9.710000000000000853e+00 3.434716159999999796e-01
9.810000000000000497e+00 3.435038848000000478e-01
9.910000000000000142e+00 3.435361792000000691e-01
1.000999999999999979e+01 3.435685120000000481e-01
1.010999999999999943e+01 3.436008703999999803e-01
1.021000000000000085e+01 3.436332544000000322e-01
1.031000000000000050e+01 3.436656767999999862e-01
1.041000000000000014e+01 3.436981311999999789e-01
1.050999999999999979e+01 3.437306176000000102e-01
1.060999999999999943e+01 3.437631360000000247e-01
1.071000000000000085e+01 3.437956927999999968e-01
1.081000000000000050e+01 3.438282816000000075e-01
1.091000000000000014e+01 3.438609024000000569e-01
