Energy Rate
5.000000000000000000e-01 8.155550199808729417e+00
1.500000000000000000e+00 7.881093032925282849e+00
2.500000000000000000e+00 8.153611828904956838e+00
3.500000000000000000e+00 7.768392917961728372e+00
4.500000000000000000e+00 8.018685060911471041e+00
5.500000000000000000e+00 7.884162120189598610e+00
6.500000000000000000e+00 8.134195813685495935e+00
7.500000000000000000e+00 8.375345307205765977e+00
8.500000000000000000e+00 7.984278977369496211e+00
9.500000000000000000e+00 8.095331477064837244e+00
1.050000000000000000e+01 7.837608912317290510e+00
1.150000000000000000e+01 7.771833526315909069e+00
1.250000000000000000e+01 8.119189592272110900e+00
1.350000000000000000e+01 7.803122063320997448e+00
1.450000000000000000e+01 8.072103332401292519e+00
1.550000000000000000e+01 7.928405436068217682e+00
1.650000000000000000e+01 7.873969519853912580e+00
1.750000000000000000e+01 7.830630777063705139e+00
1.850000000000000000e+01 8.010931577296375394e+00
1.950000000000000000e+01 7.860368617345779185e+00
2.050000000000000000e+01 7.852017469368668401e+00
2.150000000000000000e+01 7.938258821495726814e+00
2.250000000000000000e+01 7.894564710706505117e+00
2.350000000000000000e+01 7.882821413647816300e+00
2.450000000000000000e+01 7.793559433529043901e+00
2.550000000000000000e+01 7.944833129477691713e+00
2.650000000000000000e+01 8.140317835123255463e+00
2.750000000000000000e+01 7.861773936250997963e+00
2.850000000000000000e+01 7.940536407307662081e+00
2.950000000000000000e+01 7.949065239284264450e+00
3.050000000000000000e+01 8.008653991484434798e+00
3.150000000000000000e+01 7.946480744745898939e+00
3.250000000000000000e+01 8.026729300162132930e+00
3.350000000000000000e+01 7.827981670161897831e+00
3.450000000000000000e+01 7.958999390166106025e+00
3.550000000000000000e+01 8.017102058006711829e+00
3.650000000000000000e+01 7.928163139705242557e+00
3.750000000000000000e+01 7.992937034072999936e+00
3.850000000000000000e+01 7.856055742084870452e+00
3.950000000000000000e+01 7.998025257695414503e+00
4.050000000000000000e+01 8.065125197147702707e+00
4.150000000000000000e+01 8.219047999998178256e+00
4.250000000000000000e+01 8.174788531028676530e+00
4.350000000000000000e+01 8.044239250659536822e+00
4.450000000000000000e+01 8.057000192442725250e+00
4.550000000000000000e+01 7.893837821617590400e+00
4.650000000000000000e+01 8.271060952582763193e+00
4.750000000000000000e+01 8.354055533445993831e+00
4.850000000000000000e+01 8.212182936380635567e+00
4.950000000000000000e+01 8.175806175753171701e+00
5.050000000000000000e+01 8.150623507094977072e+00
5.150000000000000000e+01 8.098594401419516586e+00
5.250000000000000000e+01 8.316741893548355691e+00
5.350000000000000000e+01 8.142853870389016535e+00
5.450000000000000000e+01 7.944041628025325430e+00
5.550000000000000000e+01 8.305240892852618018e+00
5.650000000000000000e+01 8.178293751746334550e+00
5.750000000000000000e+01 7.989173363901500124e+00
5.850000000000000000e+01 8.021544157994526358e+00
5.950000000000000000e+01 8.278087547108933464e+00
6.050000000000000000e+01 7.987138074452556857e+00
6.150000000000000000e+01 8.256280874441477735e+00
6.250000000000000000e+01 8.145987570016782087e+00
6.350000000000000000e+01 8.046339152471965406e+00
6.450000000000000000e+01 8.032415188146526219e+00
6.550000000000000000e+01 8.144889159837974901e+00
6.650000000000000000e+01 8.249238126824446127e+00
6.750000000000000000e+01 8.067855069503846011e+00
6.850000000000000000e+01 8.236251041769161674e+00
6.950000000000000000e+01 8.109626962480167123e+00
7.050000000000000000e+01 8.209727666569188287e+00
7.150000000000000000e+01 8.365944208322462217e+00
7.250000000000000000e+01 8.034773539412787713e+00
7.350000000000000000e+01 8.234684191955281563e+00
7.450000000000000000e+01 8.195722936789429980e+00
7.550000000000000000e+01 8.428585894696073666e+00
7.650000000000000000e+01 8.206852416395271632e+00
7.750000000000000000e+01 8.328937477151267643e+00
7.850000000000000000e+01 8.379383579921970693e+00
7.950000000000000000e+01 8.252436438815674791e+00
8.050000000000000000e+01 8.290670804892595669e+00
8.150000000000000000e+01 8.068468886956711827e+00
8.250000000000000000e+01 8.235217243953814048e+00
8.350000000000000000e+01 8.119544960271142031e+00
8.450000000000000000e+01 8.355913138895438408e+00
8.550000000000000000e+01 8.297729705600509931e+00
8.650000000000000000e+01 8.429361243057583053e+00
8.750000000000000000e+01 7.988769536629885870e+00
8.850000000000000000e+01 8.119076520636053118e+00
8.950000000000000000e+01 8.181185155011133858e+00
9.050000000000000000e+01 8.246411335923106378e+00
9.150000000000000000e+01 7.886843533273146356e+00
9.250000000000000000e+01 8.157714713984610455e+00
9.350000000000000000e+01 8.188534811354603704e+00
9.450000000000000000e+01 8.372793118849124028e+00
9.550000000000000000e+01 8.164918992510298068e+00
9.650000000000000000e+01 8.136667236587802776e+00
