Energy Rate
5.000000000000000000e-01 5.544952728281978827e-01
1.500000000000000000e+00 5.769805110241069679e-01
2.500000000000000000e+00 5.376619727588132225e-01
3.500000000000000000e+00 5.785125668801225363e-01
4.500000000000000000e+00 6.756966367260338613e-01
5.500000000000000000e+00 5.552736997780477468e-01
6.500000000000000000e+00 5.756219302228899881e-01
7.500000000000000000e+00 6.439457676111867146e-01
8.500000000000000000e+00 5.671071636109223935e-01
9.500000000000000000e+00 6.960621183280415458e-01
1.050000000000000000e+01 6.279481838048464049e-01
1.150000000000000000e+01 5.938968441232452822e-01
1.250000000000000000e+01 7.402375712231719085e-01
1.350000000000000000e+01 6.271818244500466655e-01
1.450000000000000000e+01 5.926327525143547659e-01
1.550000000000000000e+01 7.119578965406395676e-01
1.650000000000000000e+01 6.489967534645165737e-01
1.750000000000000000e+01 6.269611743732625975e-01
1.850000000000000000e+01 6.312621364205048824e-01
1.950000000000000000e+01 7.738212008466385239e-01
2.050000000000000000e+01 5.215972293997223064e-01
2.150000000000000000e+01 6.551798385200779951e-01
2.250000000000000000e+01 6.144766006742159448e-01
2.350000000000000000e+01 7.274297467612834689e-01
2.450000000000000000e+01 5.904777826641057770e-01
2.550000000000000000e+01 8.491033536899835754e-01
2.650000000000000000e+01 6.492344958836651081e-01
2.750000000000000000e+01 5.925595127455655087e-01
2.850000000000000000e+01 6.051503578220357449e-01
2.950000000000000000e+01 5.648891746633619704e-01
3.050000000000000000e+01 5.599126797347929729e-01
3.150000000000000000e+01 6.525869573286762204e-01
3.250000000000000000e+01 7.725341863141431675e-01
3.350000000000000000e+01 7.588206781562878422e-01
3.450000000000000000e+01 6.379051990249301474e-01
3.550000000000000000e+01 5.919311907514913651e-01
3.650000000000000000e+01 6.865525008577191279e-01
3.750000000000000000e+01 7.150358718777787281e-01
3.850000000000000000e+01 7.273632603402814256e-01
3.950000000000000000e+01 6.449407501345704175e-01
4.050000000000000000e+01 5.944766656630519064e-01
4.150000000000000000e+01 7.524661182460857800e-01
4.250000000000000000e+01 6.564137534088252401e-01
4.350000000000000000e+01 7.306207591989121175e-01
4.450000000000000000e+01 6.856048318719607515e-01
4.550000000000000000e+01 5.893611219554264480e-01
4.650000000000000000e+01 5.999549524203156015e-01
4.750000000000000000e+01 6.174103123286015515e-01
4.850000000000000000e+01 8.498762252419047591e-01
4.950000000000000000e+01 6.149310643497359896e-01
5.050000000000000000e+01 7.061827409480261331e-01
5.150000000000000000e+01 7.992102334471566927e-01
5.250000000000000000e+01 6.811890548684598201e-01
5.350000000000000000e+01 6.281954708660963949e-01
5.450000000000000000e+01 6.471390974427790876e-01
5.550000000000000000e+01 6.242400664770897389e-01
5.650000000000000000e+01 5.834256800567564349e-01
5.750000000000000000e+01 5.979915334498993040e-01
5.850000000000000000e+01 6.172721911649142745e-01
5.950000000000000000e+01 6.614883256831349811e-01
6.050000000000000000e+01 6.819342227826460379e-01
6.150000000000000000e+01 7.181641161519208838e-01
6.250000000000000000e+01 6.363944765959301808e-01
6.350000000000000000e+01 6.650920771466752868e-01
6.450000000000000000e+01 5.978759185604008985e-01
6.550000000000000000e+01 6.259665380777833521e-01
6.650000000000000000e+01 7.253984718193748904e-01
6.750000000000000000e+01 8.057766589739324692e-01
6.850000000000000000e+01 6.510204634465200924e-01
6.950000000000000000e+01 6.449085212727082572e-01
7.050000000000000000e+01 6.066106386880371071e-01
7.150000000000000000e+01 5.937532978364464809e-01
7.250000000000000000e+01 7.491619422743421852e-01
7.350000000000000000e+01 6.171111852208648330e-01
7.450000000000000000e+01 5.845571139478338285e-01
7.550000000000000000e+01 6.168675557694968115e-01
7.650000000000000000e+01 6.644354100036864441e-01
7.750000000000000000e+01 6.509735850522143652e-01
7.850000000000000000e+01 6.909382522795458614e-01
7.950000000000000000e+01 6.963151225345584061e-01
8.050000000000000000e+01 6.675299035391484281e-01
8.150000000000000000e+01 6.655432575891248037e-01
8.250000000000000000e+01 6.382720938281226664e-01
8.350000000000000000e+01 6.920152869473958912e-01
8.450000000000000000e+01 6.034665636791712862e-01
8.550000000000000000e+01 6.284903617753130334e-01
8.650000000000000000e+01 7.894797967691999929e-01
8.750000000000000000e+01 6.929018294191291449e-01
8.850000000000000000e+01 7.361680115022910531e-01
8.950000000000000000e+01 7.298637356339823246e-01
9.050000000000000000e+01 6.109982710354256996e-01
9.150000000000000000e+01 7.745470414308990303e-01
9.250000000000000000e+01 7.778610552750857554e-01
9.350000000000000000e+01 6.193376899094651389e-01
