Energy Rate
5.000000000000000000e-01 3.394034740473655248e-03
1.500000000000000000e+00 4.870015352790978288e-04
2.500000000000000000e+00 4.576773639353745962e-04
3.500000000000000000e+00 4.317121047857100055e-04
4.500000000000000000e+00 3.732258696875342605e-04
5.500000000000000000e+00 3.213863110413224208e-04
6.500000000000000000e+00 4.848090860118246153e-04
7.500000000000000000e+00 4.137597663672511607e-04
8.500000000000000000e+00 3.660555699356075020e-04
9.500000000000000000e+00 3.403246466570667914e-04
1.050000000000000000e+01 2.954921359867331140e-04
1.150000000000000000e+01 2.622352327396033455e-04
1.250000000000000000e+01 2.579732356526987349e-04
1.350000000000000000e+01 2.313570976693269862e-04
1.450000000000000000e+01 2.183276351950122691e-04
1.550000000000000000e+01 2.043253400623059441e-04
1.650000000000000000e+01 1.822976436007876474e-04
1.750000000000000000e+01 1.677132819592423566e-04
1.850000000000000000e+01 1.667746820635203949e-04
1.950000000000000000e+01 1.513828170614270427e-04
2.050000000000000000e+01 1.385930318345739371e-04
2.150000000000000000e+01 1.305534613842172851e-04
2.250000000000000000e+01 1.239726801051027941e-04
2.350000000000000000e+01 1.141648183707555072e-04
2.450000000000000000e+01 1.118795410427673277e-04
2.550000000000000000e+01 1.053360537050453707e-04
2.650000000000000000e+01 9.618500281086918757e-05
2.750000000000000000e+01 9.556848876445791976e-05
2.850000000000000000e+01 9.372139276266443892e-05
2.950000000000000000e+01 8.214217010179217660e-05
3.050000000000000000e+01 8.304202945888084603e-05
3.150000000000000000e+01 7.528559246128316664e-05
3.250000000000000000e+01 7.043899353858773776e-05
3.350000000000000000e+01 6.811447754262246236e-05
3.450000000000000000e+01 6.522719392812735854e-05
3.550000000000000000e+01 6.025857123902818475e-05
3.650000000000000000e+01 6.046064315751557443e-05
3.750000000000000000e+01 5.745780323268278873e-05
3.850000000000000000e+01 5.381300425348649390e-05
3.950000000000000000e+01 4.831425046728323093e-05
4.050000000000000000e+01 5.088432332178152788e-05
4.150000000000000000e+01 4.661134581100936973e-05
4.250000000000000000e+01 4.307522956939188795e-05
4.350000000000000000e+01 4.089211319068457540e-05
4.450000000000000000e+01 4.013376939622975486e-05
4.550000000000000000e+01 3.756250799810532975e-05
4.650000000000000000e+01 3.667753552095635698e-05
4.750000000000000000e+01 3.654364364540246439e-05
4.850000000000000000e+01 3.105689472801748726e-05
4.950000000000000000e+01 3.069134508552593158e-05
5.050000000000000000e+01 3.059808262686083242e-05
5.150000000000000000e+01 3.044043979718100693e-05
5.250000000000000000e+01 2.652859196918837037e-05
5.350000000000000000e+01 2.512844298947033265e-05
5.450000000000000000e+01 2.675096375353416131e-05
5.550000000000000000e+01 2.481352598458766629e-05
5.650000000000000000e+01 2.281244912138258540e-05
5.750000000000000000e+01 1.925932295510114498e-05
5.850000000000000000e+01 2.092958819853578230e-05
5.950000000000000000e+01 1.937616074492267467e-05
6.050000000000000000e+01 1.784222896929694898e-05
6.150000000000000000e+01 1.736823220819383920e-05
6.250000000000000000e+01 1.703684724568961214e-05
6.350000000000000000e+01 1.543996092450065121e-05
6.450000000000000000e+01 1.622141358261028360e-05
6.550000000000000000e+01 1.380019695280834427e-05
6.650000000000000000e+01 1.408903473347258490e-05
6.750000000000000000e+01 1.406668634783181352e-05
6.850000000000000000e+01 1.322337176078871509e-05
6.950000000000000000e+01 1.202832614283871578e-05
7.050000000000000000e+01 1.086165889145509532e-05
7.150000000000000000e+01 1.043828967559911614e-05
7.250000000000000000e+01 9.858743365047276951e-06
7.350000000000000000e+01 9.704369579932520248e-06
7.450000000000000000e+01 9.403468344245839657e-06
7.550000000000000000e+01 8.931832660566483005e-06
7.650000000000000000e+01 8.683581382114669391e-06
7.750000000000000000e+01 7.544052103503773597e-06
7.850000000000000000e+01 7.111234229215029650e-06
7.950000000000000000e+01 6.512924642214387599e-06
