energy 	 rate 
0.01 	 4.862534034285714e-07 
0.51 	 4.864698971428573e-07 
1.01 	 4.866990811428572e-07 
1.51 	 4.869298377142858e-07 
2.01 	 4.871607862857143e-07 
2.51 	 4.873913965714286e-07 
3.01 	 4.876214125714287e-07 
3.51 	 4.878507245714286e-07 
4.01 	 4.880793142857142e-07 
4.51 	 4.883072457142857e-07 
5.01 	 4.885346102857142e-07 
5.51 	 4.887615451428571e-07 
6.01 	 4.889882057142857e-07 
6.51 	 4.89214774857143e-07 
7.01 	 4.894414171428571e-07 
7.51 	 4.896683154285716e-07 
8.01 	 4.898956342857143e-07 
8.51 	 4.901235382857143e-07 
9.01 	 4.903521737142858e-07 
9.51 	 4.905816685714285e-07 
10.01 	 4.908121600000001e-07 
10.51 	 4.910437394285715e-07 
11.01 	 4.912765165714285e-07 
11.51 	 4.915105645714286e-07 
12.01 	 4.917459657142857e-07 
12.51 	 4.919827474285715e-07 
13.01 	 4.922209828571428e-07 
13.51 	 4.924606994285716e-07 
14.01 	 4.927019154285715e-07 
14.51 	 4.929446491428572e-07 
15.01 	 4.931889097142857e-07 
15.51 	 4.934346971428573e-07 
16.01 	 4.936820022857143e-07 
16.51 	 4.939308251428571e-07 
17.01 	 4.941811291428572e-07 
17.51 	 4.944329051428572e-07 
18.01 	 4.946861257142857e-07 
18.51 	 4.949407634285715e-07 
19.01 	 4.951967725714285e-07 
19.51 	 4.954541348571429e-07 
20.01 	 4.957127954285715e-07 
20.51 	 4.959727177142858e-07 
21.01 	 4.962338651428572e-07 
21.51 	 4.96496182857143e-07 
22.01 	 4.967596342857143e-07 
22.51 	 4.970241737142857e-07 
23.01 	 4.972897554285714e-07 
23.51 	 4.975563245714286e-07 
24.01 	 4.978238354285714e-07 
24.51 	 4.980922331428571e-07 
25.01 	 4.983614811428572e-07 
25.51 	 4.986315245714286e-07 
26.01 	 4.989023177142857e-07 
26.51 	 4.991738057142858e-07 
27.01 	 4.99445952e-07 
27.51 	 4.997186925714285e-07 
28.01 	 4.99991990857143e-07 
28.51 	 5.002657920000001e-07 
29.01 	 5.005400594285714e-07 
29.51 	 5.008147474285714e-07 
30.01 	 5.010897920000001e-07 
30.51 	 5.013651657142858e-07 
31.01 	 5.01640822857143e-07 
31.51 	 5.019167177142858e-07 
32.01 	 5.021928045714286e-07 
32.51 	 5.024690377142858e-07 
33.01 	 5.027453897142857e-07 
33.51 	 5.030217965714286e-07 
34.01 	 5.0329824e-07 
34.51 	 5.035746742857143e-07 
35.01 	 5.038510537142857e-07 
35.51 	 5.04127350857143e-07 
36.01 	 5.044035200000001e-07 
36.51 	 5.046795245714286e-07 
37.01 	 5.049553371428572e-07 
37.51 	 5.05230912e-07 
38.01 	 5.055062217142857e-07 
38.51 	 5.057812297142857e-07 
39.01 	 5.060558994285714e-07 
39.51 	 5.063302034285715e-07 
