energy 	 rate 
0.5 	 1.9126811551797466e-06 
5.5 	 1.800906163275087e-06 
10.5 	 1.878288849978313e-06 
15.5 	 1.786054940574467e-06 
20.5 	 1.776675220974077e-06 
25.5 	 1.7559616735232116e-06 
30.5 	 1.7540075652731311e-06 
35.5 	 1.774721112723995e-06 
40.5 	 1.794653016874826e-06 
45.5 	 1.7325123745222351e-06 
50.5 	 1.7047640373710776e-06 
55.5 	 1.7176611518216161e-06 
60.5 	 1.7032007507710124e-06 
65.5 	 1.6746707703198239e-06 
70.5 	 1.669590088869611e-06 
75.5 	 1.6602103692692206e-06 
80.5 	 1.6930393878705902e-06 
85.5 	 1.70984471882129e-06 
90.5 	 1.6750615919698391e-06 
95.5 	 1.6445775032685682e-06 
100.5 	 1.60744944651702e-06 
105.5 	 1.584390969166059e-06 
110.5 	 1.5116981422630286e-06 
115.5 	 1.55586098871487e-06 
120.5 	 1.5187329319633222e-06 
125.5 	 1.5640682433652113e-06 
130.5 	 1.5808735743159124e-06 
135.5 	 1.515997180413208e-06 
140.5 	 1.5249860783635824e-06 
145.5 	 1.4788691236616588e-06 
150.5 	 1.1326793060772261e-05 
155.5 	 1.1058689408861077e-05 
160.5 	 1.0544758939089651e-05 
165.5 	 1.0314174165580038e-05 
170.5 	 1.0302058694429529e-05 
175.5 	 1.0143775926172932e-05 
180.5 	 9.95188249601493e-06 
185.5 	 9.739666340056086e-06 
190.5 	 9.478988299495221e-06 
195.5 	 9.332039359089089e-06 
200.5 	 9.161250298031963e-06 
205.5 	 8.892755824470775e-06 
210.5 	 8.811074099617368e-06 
215.5 	 8.591823153958224e-06 
220.5 	 8.42064327125109e-06 
225.5 	 9.756080849356767e-06 
230.5 	 9.629063813101476e-06 
235.5 	 1.0360681941931978e-05 
240.5 	 1.5752848247206793e-05 
245.5 	 1.5008723825575768e-05 
250.5 	 1.4332602371047581e-05 
255.5 	 1.3955068657131839e-05 
260.5 	 1.3486864320412318e-05 
265.5 	 1.312535429414725e-05 
270.5 	 1.2855687355636003e-05 
275.5 	 1.2455095164369298e-05 
280.5 	 1.2159633996956976e-05 
285.5 	 1.1565975910582227e-05 
290.5 	 1.1289274182370694e-05 
295.5 	 1.0991468085058275e-05 
300.5 	 1.0662005434094542e-05 
305.5 	 1.0307530197529757e-05 
310.5 	 9.953054960964978e-06 
315.5 	 9.776403575157613e-06 
320.5 	 9.335165932289223e-06 
325.5 	 9.672054194603266e-06 
330.5 	 9.155387973281726e-06 
335.5 	 8.96075879157361e-06 
340.5 	 8.414780946500844e-06 
345.5 	 8.108767594538085e-06 
350.5 	 7.722244982671966e-06 
355.5 	 7.415449987409178e-06 
360.5 	 6.964441803290373e-06 
365.5 	 6.663509132777825e-06 
370.5 	 6.269560909561404e-06 
375.5 	 6.027251486551295e-06 
380.5 	 5.507458692029628e-06 
385.5 	 5.277264740170027e-06 
390.5 	 4.987275075857939e-06 
395.5 	 4.778967136399253e-06 
400.5 	 4.4033875307335936e-06 
405.5 	 4.222046285126034e-06 
410.5 	 3.9601957796151135e-06 
415.5 	 3.818327520659201e-06 
420.5 	 3.4587716026442087e-06 
425.5 	 3.2270143641845475e-06 
430.5 	 2.941714559672651e-06 
435.5 	 2.7240269006135744e-06 
440.5 	 2.458268178602495e-06 
445.5 	 2.274191181444819e-06 
