energy 	 rate 
1.0 	 5.319984685714285e-06 
6.0 	 5.221401742857143e-06 
11.0 	 5.124581314285714e-06 
16.0 	 5.023447628571428e-06 
21.0 	 4.928909542857143e-06 
26.0 	 4.832844657142857e-06 
31.0 	 4.734548971428572e-06 
36.0 	 4.633417485714285e-06 
41.0 	 4.528938857142857e-06 
46.0 	 4.420593885714286e-06 
51.0 	 4.308146228571429e-06 
56.0 	 4.226192142857143e-06 
61.0 	 4.108473914285714e-06 
66.0 	 3.985965657142857e-06 
71.0 	 3.902540085714286e-06 
76.0 	 3.7740619714285714e-06 
81.0 	 3.689767085714286e-06 
86.0 	 3.555193714285714e-06 
91.0 	 3.469846285714286e-06 
96.0 	 3.3291820571428575e-06 
101.0 	 3.242849342857143e-06 
106.0 	 3.156624742857143e-06 
111.0 	 3.0094258857142852e-06 
116.0 	 2.9223275714285717e-06 
121.0 	 2.835338942857143e-06 
126.0 	 2.6825300857142854e-06 
131.0 	 2.595063114285714e-06 
136.0 	 2.5078686285714286e-06 
141.0 	 2.3510381714285717e-06 
146.0 	 2.2638829714285714e-06 
151.0 	 2.1771765714285715e-06 
156.0 	 2.090968942857143e-06 
161.0 	 1.9324573714285713e-06 
166.0 	 1.847299142857143e-06 
171.0 	 1.7629360571428571e-06 
176.0 	 1.6062140285714286e-06 
181.0 	 1.5239242857142856e-06 
186.0 	 1.4428659142857144e-06 
191.0 	 1.3630785142857145e-06 
196.0 	 1.2846896857142856e-06 
201.0 	 1.1382017428571428e-06 
206.0 	 1.0642113428571429e-06 
211.0 	 9.921977999999999e-07 
216.0 	 9.223522e-07 
221.0 	 8.548382857142858e-07 
226.0 	 7.306099428571428e-07 
231.0 	 6.418283142857142e-07 
236.0 	 5.86025e-07 
241.0 	 5.340490571428572e-07 
246.0 	 4.863744285714285e-07 
251.0 	 4.436315714285714e-07 
256.0 	 3.7753979999999994e-07 
261.0 	 3.5681014285714283e-07 
266.0 	 3.5600777142857144e-07 
271.0 	 3.5528994285714287e-07 
276.0 	 3.544737428571429e-07 
281.0 	 3.536798571428572e-07 
286.0 	 3.5286774285714284e-07 
291.0 	 3.5205688571428575e-07 
296.0 	 3.5126959999999997e-07 
301.0 	 3.5046314285714286e-07 
306.0 	 3.4965762857142854e-07 
311.0 	 3.488769428571429e-07 
316.0 	 3.480755142857143e-07 
321.0 	 3.472753428571429e-07 
326.0 	 3.4650125714285713e-07 
331.0 	 3.457054857142857e-07 
336.0 	 3.449106571428571e-07 
341.0 	 3.441438e-07 
346.0 	 3.433530571428571e-07 
351.0 	 3.425902857142857e-07 
356.0 	 3.418039428571429e-07 
361.0 	 3.4101854285714284e-07 
366.0 	 3.40395e-07 
371.0 	 3.3961525714285716e-07 
376.0 	 3.3886599999999996e-07 
