energy 	 rate 
0.5 	 7.921361040402827e-07 
5.5 	 7.932481425400682e-07 
10.5 	 8.970688340069234e-07 
15.5 	 1.017082709343771e-06 
20.5 	 7.451388991424604e-07 
25.5 	 1.2130047909856908e-06 
30.5 	 7.998752567639899e-07 
35.5 	 8.456159867878448e-07 
40.5 	 8.492523795186456e-07 
45.5 	 8.419444599363235e-07 
50.5 	 1.0088324870686088e-06 
55.5 	 8.917715235386996e-07 
60.5 	 9.741917468323516e-07 
65.5 	 8.942379115396905e-07 
70.5 	 8.665866266971959e-07 
75.5 	 8.812393653849954e-07 
80.5 	 9.536141479130692e-07 
85.5 	 8.978433739647329e-07 
90.5 	 8.72854672907751e-07 
95.5 	 9.242488816029347e-07 
100.5 	 9.90366642690914e-07 
105.5 	 8.997620552964834e-07 
110.5 	 9.166129098956873e-07 
115.5 	 9.599694022331887e-07 
120.5 	 9.164312010147008e-07 
125.5 	 8.90394723909673e-07 
130.5 	 9.346398017757446e-07 
135.5 	 1.3349532642793085e-06 
140.5 	 1.3612127544409159e-06 
145.5 	 1.0899459499317615e-06 
150.5 	 1.3620303885996658e-06 
155.5 	 1.8533861861144163e-06 
160.5 	 2.4708408932676405e-06 
165.5 	 3.4771398603766005e-06 
170.5 	 4.845919851756718e-06 
175.5 	 7.491828770118769e-06 
180.5 	 8.936036705752735e-06 
185.5 	 1.2483399315535293e-05 
190.5 	 1.6385552482102805e-05 
195.5 	 1.9948882283907435e-05 
200.5 	 2.48859657807739e-05 
205.5 	 3.2169149128648086e-05 
210.5 	 3.658302017802936e-05 
215.5 	 5.953237154008844e-05 
220.5 	 5.086181216125561e-05 
225.5 	 5.869023887357787e-05 
230.5 	 7.007437759098678e-05 
235.5 	 7.923604346918887e-05 
240.5 	 0.0006254556947938593 
245.5 	 7.38118830009192e-05 
250.5 	 8.071938469299477e-05 
255.5 	 8.915601279574416e-05 
260.5 	 9.613069436008908e-05 
265.5 	 0.00010663900974689716 
270.5 	 0.00023284580709189036 
275.5 	 0.00012224081715319555 
280.5 	 0.00012668063132815412 
285.5 	 0.0001345765252879783 
290.5 	 0.0001419353167658532 
295.5 	 0.008391295632032145 
300.5 	 0.0012358146163870254 
305.5 	 0.0001370487833364636 
310.5 	 0.00014140062772798466 
315.5 	 0.0001433672270362821 
320.5 	 0.0001529308922582977 
325.5 	 0.00015832817959349102 
330.5 	 0.00016195239695332086 
335.5 	 0.0001712181980917065 
340.5 	 0.00017055810632295485 
345.5 	 0.0001695292933089243 
350.5 	 0.00016869168786288387 
355.5 	 0.00012356970945594174 
360.5 	 0.00012721239996905037 
365.5 	 0.00012449566109690375 
370.5 	 0.00013050820167257997 
375.5 	 0.00012792412336677593 
380.5 	 0.00013183090104770985 
385.5 	 0.00013251709469875878 
390.5 	 0.00013285827559889567 
395.5 	 0.00013146057839104328 
400.5 	 0.0001353474817588505 
405.5 	 0.0001350735629303376 
410.5 	 0.00013344687887813803 
415.5 	 0.00023653765757625122 
420.5 	 0.0001325640847037987 
425.5 	 0.00012968126516417995 
430.5 	 0.00013624688950159794 
435.5 	 0.00013631952668451312 
440.5 	 0.00014021053324834304 
445.5 	 0.00013208427608574786 
450.5 	 0.00014134344465344115 
455.5 	 0.00013299167753528507 
460.5 	 0.000135364800693494 
465.5 	 0.00013040957656243753 
470.5 	 0.00013312969863691184 
475.5 	 0.00013395971192199305 
480.5 	 0.00044832045643034837 
485.5 	 0.0001337693644073611 
490.5 	 0.0001327559588205393 
495.5 	 0.00013368137761684943 
500.5 	 0.0001299790294531067 
505.5 	 0.00012993366789295578 
510.5 	 0.00040149784168299376 
515.5 	 0.00013081335684973782 
520.5 	 0.00013266781600721283 
525.5 	 0.0001314618212913228 
530.5 	 0.00012990849070145324 
535.5 	 0.00012920776518983115 
540.5 	 0.00012880184982934503 
545.5 	 0.0001255474313366719 
550.5 	 0.00012753787337469168 
555.5 	 0.000130083215048122 
560.5 	 0.00012628322981287883 
565.5 	 0.00012528844650114675 
570.5 	 0.0001320622649600125 
575.5 	 0.00012683046697997179 
580.5 	 0.00031892029537650504 
585.5 	 0.00012025052049387038 
590.5 	 0.00012267768370100317 
595.5 	 0.00011895276020755187 
600.5 	 0.0001212738708898362 
605.5 	 0.00012018492774312518 
610.5 	 0.00010330618160461672 
615.5 	 0.00011278308637518705 
620.5 	 0.00011837058806067357 
625.5 	 0.00010513292773398693 
630.5 	 0.00010687281053752898 
635.5 	 0.00010394156630842551 
640.5 	 0.00011510376618909092 
645.5 	 0.00010693379212612491 
650.5 	 0.00010039522525368946 
655.5 	 0.00010386587485606465 
660.5 	 0.0001018075975892029 
665.5 	 0.00015055707906125147 
670.5 	 0.00010200393850379491 
675.5 	 0.00010094284400468989 
680.5 	 0.00010077484527229946 
685.5 	 0.00010080676509996591 
690.5 	 0.00010062365718110877 
695.5 	 0.0001026746143207532 
700.5 	 9.83288756318444e-05 
705.5 	 0.00011011726346714663 
710.5 	 0.0001032370666127145 
715.5 	 9.984516014317216e-05 
720.5 	 0.00010211299337768878 
725.5 	 9.984441748923578e-05 
730.5 	 9.82449945115576e-05 
735.5 	 9.541463740956317e-05 
740.5 	 9.891037665587717e-05 
745.5 	 9.302328396678077e-05 
750.5 	 9.411298052058539e-05 
755.5 	 0.00018759401064676905 
760.5 	 9.127906514052566e-05 
765.5 	 9.255612310927177e-05 
770.5 	 8.857091942303632e-05 
775.5 	 9.073853551494643e-05 
780.5 	 9.063297877275555e-05 
785.5 	 0.0015152643279426415 
790.5 	 8.676071347506915e-05 
795.5 	 8.362092821760582e-05 
800.5 	 8.30760377330154e-05 
805.5 	 9.724241273397723e-05 
810.5 	 8.478368321095419e-05 
815.5 	 8.458104419206733e-05 
820.5 	 8.494288411208987e-05 
825.5 	 8.465343630934864e-05 
830.5 	 0.000179425863980065 
835.5 	 0.0009194387527360348 
840.5 	 0.0002596434245363828 
845.5 	 8.514779895865584e-05 
850.5 	 8.415790206143557e-05 
855.5 	 8.114814314711831e-05 
860.5 	 0.00034405724266954157 
865.5 	 8.046204775482989e-05 
870.5 	 8.666152456254248e-05 
875.5 	 8.897429258529787e-05 
880.5 	 0.00013468833460668242 
885.5 	 8.53401688783038e-05 
890.5 	 8.011955140667825e-05 
895.5 	 8.039448036246243e-05 
900.5 	 7.808488974004312e-05 
905.5 	 7.896945669071684e-05 
910.5 	 8.085700285645787e-05 
915.5 	 6.8116229875549e-05 
920.5 	 6.471390370262992e-05 
925.5 	 7.626443906977143e-05 
930.5 	 6.782485655969423e-05 
935.5 	 6.614582820949401e-05 
940.5 	 6.737846067038134e-05 
945.5 	 0.00015422392004445622 
950.5 	 6.60388898191021e-05 
955.5 	 6.5337153498327e-05 
960.5 	 6.745075684727265e-05 
965.5 	 6.705607666899685e-05 
970.5 	 5.682882108539758e-05 
975.5 	 6.030126684354202e-05 
980.5 	 7.366732482146955e-05 
985.5 	 5.584606436305931e-05 
990.5 	 5.6941868006628104e-05 
995.5 	 5.664297821617076e-05 
1000.5 	 5.813051739571773e-05 
1005.5 	 5.0584272712743774e-05 
1010.5 	 5.066142603378426e-05 
1015.5 	 5.4787004276652324e-05 
1020.5 	 5.2289867716679766e-05 
1025.5 	 5.410609059599935e-05 
1030.5 	 5.282384898684613e-05 
1035.5 	 4.9892230246096104e-05 
1040.5 	 5.6714494393419486e-05 
1045.5 	 5.62269479702872e-05 
1050.5 	 5.57153632441113e-05 
1055.5 	 5.1326968154619126e-05 
1060.5 	 5.416190555829279e-05 
1065.5 	 0.00023522206059698464 
1070.5 	 5.3463028270429454e-05 
1075.5 	 5.444300777618101e-05 
1080.5 	 5.176960006874515e-05 
1085.5 	 5.3596465734480685e-05 
1090.5 	 5.437362947040558e-05 
1095.5 	 0.000745931953984347 
1100.5 	 5.401794959820849e-05 
1105.5 	 5.292316035376338e-05 
1110.5 	 0.00040276937337290825 
1115.5 	 5.45914341070882e-05 
1120.5 	 0.005451819741765477 
1125.5 	 4.9991768548548624e-05 
1130.5 	 5.202417588014741e-05 
1135.5 	 5.168961348086655e-05 
1140.5 	 4.555822847118724e-05 
1145.5 	 4.9923673528473035e-05 
1150.5 	 4.587086208890762e-05 
1155.5 	 0.0003905672141677508 
1160.5 	 4.870640808770099e-05 
1165.5 	 4.8568510174975494e-05 
1170.5 	 4.61169268378829e-05 
1175.5 	 7.095885585411221e-05 
1180.5 	 4.191597878067695e-05 
1185.5 	 4.247873942185237e-05 
1190.5 	 4.3429717795017604e-05 
1195.5 	 4.046472848908151e-05 
1200.5 	 4.4788580236118456e-05 
1205.5 	 4.259576875413868e-05 
1210.5 	 4.296011147297353e-05 
1215.5 	 4.369639686646921e-05 
