energy 	 rate 
0.1 	 3.9999999600000007e-07 
0.5 	 1.9711431165e-07 
1.0 	 1.2203296484999996e-07 
1.5 	 8.527736265e-08 
2.0 	 6.330515470000002e-08 
2.5 	 4.881240265e-08 
3.0 	 3.8652769999999995e-08 
3.5 	 3.1214980675e-08 
4.0 	 2.5595596894999996e-08 
4.5 	 2.1248093939999997e-08 
5.0 	 1.781984896e-08 
5.5 	 1.5073921475e-08 
6.0 	 1.2845789195e-08 
6.5 	 1.1018162655e-08 
7.0 	 9.50513217e-09 
7.5 	 8.242394595e-09 
8.0 	 7.180849035e-09 
8.5 	 6.28246176e-09 
9.0 	 5.5174213949999995e-09 
9.5 	 4.862324505e-09 
10.0 	 4.298478709999999e-09 
10.5 	 3.810989089999999e-09 
11.0 	 3.387788525999999e-09 
11.5 	 3.0189786195e-09 
12.0 	 2.6964771754999998e-09 
12.5 	 2.413531621e-09 
13.0 	 2.164544097e-09 
13.5 	 1.9448185135000006e-09 
14.0 	 1.7504221414999997e-09 
14.5 	 1.5780168369999998e-09 
15.0 	 1.4247505265e-09 
15.5 	 1.2882307810000001e-09 
16.0 	 1.1663686324999998e-09 
16.5 	 1.0573762745e-09 
17.0 	 9.597109249999997e-10 
17.5 	 8.720348224999999e-10 
18.0 	 7.931981075e-10 
18.5 	 7.22188635e-10 
19.0 	 6.581379969999999e-10 
19.5 	 6.002771385e-10 
20.0 	 5.479445335e-10 
20.5 	 5.005574959999999e-10 
21.0 	 4.576011205e-10 
21.5 	 4.1862288000000006e-10 
22.0 	 3.832178435e-10 
22.5 	 3.5103031485e-10 
23.0 	 3.21747646e-10 
23.5 	 2.9508073504999996e-10 
24.0 	 2.7078160829999997e-10 
24.5 	 2.486177498e-10 
25.0 	 2.2839246834999995e-10 
25.5 	 2.0991905185e-10 
26.0 	 1.930341263e-10 
26.5 	 1.775904799e-10 
27.0 	 1.6345539135e-10 
27.5 	 1.5050944725000001e-10 
28.0 	 1.386444105e-10 
28.5 	 1.277632422e-10 
29.0 	 1.1777753205000002e-10 
29.5 	 1.086085751e-10 
30.0 	 1.0018470725000002e-10 
30.5 	 9.24425061e-11 
31.0 	 8.532135975e-11 
31.5 	 7.87685111e-11 
32.0 	 7.273748834999999e-11 
32.5 	 6.718246939999999e-11 
33.0 	 6.206591765000001e-11 
33.5 	 5.7349624899999994e-11 
34.0 	 5.30025771e-11 
34.5 	 4.8993519299999996e-11 
35.0 	 4.52950838e-11 
35.5 	 4.18832171e-11 
36.0 	 3.873417229999999e-11 
36.5 	 3.582681079e-11 
37.0 	 3.3142616485000007e-11 
37.5 	 3.0663846735000003e-11 
38.0 	 2.8373851699999992e-11 
38.5 	 2.6258212055000002e-11 
39.0 	 2.4302956695000004e-11 
39.5 	 2.2495789500000002e-11 
40.0 	 2.0825168805e-11 
40.5 	 1.9280451575e-11 
41.0 	 1.7851959835e-11 
41.5 	 1.6530711665e-11 
42.0 	 1.5308362070000002e-11 
42.5 	 1.4177361755e-11 
43.0 	 1.3130700529999999e-11 
43.5 	 1.2161789415e-11 
44.0 	 1.1264849364999998e-11 
44.5 	 1.0434223975e-11 
45.0 	 9.665020785e-12 
45.5 	 8.95265284e-12 
46.0 	 8.292666775e-12 
46.5 	 7.681062919999999e-12 
47.0 	 7.114251135000001e-12 
47.5 	 6.58906103e-12 
48.0 	 6.10220578e-12 
48.5 	 5.65082707e-12 
49.0 	 5.232410415e-12 
49.5 	 4.844494255000001e-12 
50.0 	 4.484732005e-12 
50.5 	 4.151213985e-12 
51.0 	 3.841921015e-12 
51.5 	 3.555070288999999e-12 
52.0 	 3.2891631534999998e-12 
52.5 	 3.0424998765e-12 
53.0 	 2.8138521599999995e-12 
53.5 	 2.6017705524999996e-12 
54.0 	 2.4051677554999997e-12 
54.5 	 2.2228317865e-12 
55.0 	 2.0538166020000002e-12 
55.5 	 1.8970903105e-12 
56.0 	 1.751857431e-12 
56.5 	 1.61719966e-12 
57.0 	 1.4924611655e-12 
57.5 	 1.3768523065e-12 
58.0 	 1.2697872945e-12 
58.5 	 1.170602669e-12 
59.0 	 1.0787468785e-12 
59.5 	 9.937293629999999e-13 
60.0 	 9.150213105e-13 
60.5 	 8.421855604999998e-13 
61.0 	 7.7481543e-13 
61.5 	 7.124886869999999e-13 
62.0 	 6.548640565e-13 
62.5 	 6.01606578e-13 
63.0 	 5.52385379e-13 
63.5 	 5.069118905e-13 
64.0 	 4.64934153e-13 
64.5 	 4.2617619e-13 
65.0 	 3.904059344999999e-13 
65.5 	 3.574158256e-13 
66.0 	 3.2700520455000005e-13 
66.5 	 2.9897446015e-13 
67.0 	 2.7314838145000007e-13 
67.5 	 2.493678832e-13 
68.0 	 2.274887174e-13 
68.5 	 2.0736352989999997e-13 
69.0 	 1.8886120540000003e-13 
69.5 	 1.7185795415e-13 
70.0 	 1.5624411190000002e-13 
70.5 	 1.4191774875000002e-13 
71.0 	 1.2878013585e-13 
71.5 	 1.1673922385e-13 
72.0 	 1.0571066855000002e-13 
72.5 	 9.561741845000001e-14 
73.0 	 8.638715609999999e-14 
73.5 	 7.795291860000001e-14 
74.0 	 7.025294795e-14 
74.5 	 6.32301691e-14 
75.0 	 5.6830324799999994e-14 
75.5 	 5.100391010000001e-14 
76.0 	 4.5705048150000005e-14 
76.5 	 4.0889730900000004e-14 
77.0 	 3.652000564999999e-14 
77.5 	 3.2559269835000005e-14 
78.0 	 2.897365693e-14 
78.5 	 2.5731738610000002e-14 
79.0 	 2.2804533145000005e-14 
79.5 	 2.0165580225000004e-14 
80.0 	 1.779016643e-14 
80.5 	 1.5655476705e-14 
81.0 	 1.3740460405e-14 
81.5 	 1.2025699895e-14 
82.0 	 1.049329594e-14 
82.5 	 9.126756015e-15 
83.0 	 7.91089101e-15 
83.5 	 6.83172325e-15 
84.0 	 5.8763963400000005e-15 
84.5 	 5.03309012e-15 
85.0 	 4.2908903600000005e-15 
85.5 	 3.639904976e-15 
86.0 	 3.0710114134999995e-15 
86.5 	 2.5758430695e-15 
87.0 	 2.146742098e-15 
87.5 	 1.776599248e-15 
88.0 	 1.4591403155000002e-15 
88.5 	 1.1885422365e-15 
89.0 	 9.594848075e-16 
89.5 	 7.671360855000001e-16 
90.0 	 6.07109026e-16 
90.5 	 4.754058205e-16 
91.0 	 3.6843154750000007e-16 
91.5 	 2.8292881195000002e-16 
92.0 	 2.159602435e-16 
92.5 	 1.6488307424999998e-16 
93.0 	 1.2730514895e-16 
93.5 	 1.0113224360000002e-16 
94.0 	 8.446377765000001e-17 
94.5 	 7.561504615e-17 
95.0 	 7.308295355e-17 
95.5 	 7.553978314999999e-17 
96.0 	 8.1834314e-17 
96.5 	 9.095985055e-17 
97.0 	 1.0203244674999999e-16 
97.5 	 1.142961292e-16 
98.0 	 1.271095564e-16 
98.5 	 1.398814539e-16 
99.0 	 1.5217440935000002e-16 
99.5 	 1.6364349775e-16 
100.0 	 1.7396834765000002e-16 
100.5 	 1.8293506174999998e-16 
101.0 	 1.9032354504999998e-16 
101.5 	 1.9598514034999998e-16 
102.0 	 1.9991104384999997e-16 
102.5 	 2.0206093034999999e-16 
103.0 	 2.0246186825e-16 
103.5 	 2.0108597155000002e-16 
104.0 	 1.9796272860000001e-16 
104.5 	 1.9328529740000001e-16 
105.0 	 1.871431431e-16 
105.5 	 1.797079106e-16 
106.0 	 1.7097795739999997e-16 
106.5 	 1.6120487070000004e-16 
107.0 	 1.5059011225e-16 
107.5 	 1.3935533195000003e-16 
108.0 	 1.2754960404999998e-16 
108.5 	 1.153816684e-16 
109.0 	 1.0312799425000001e-16 
109.5 	 9.103945704999999e-17 
110.0 	 7.914593205e-17 
110.5 	 6.767300019999999e-17 
111.0 	 5.70055248e-17 
111.5 	 4.70882485e-17 
112.0 	 3.788165275e-17 
112.5 	 2.9589697359999995e-17 
113.0 	 2.2444096375e-17 
113.5 	 1.63048858e-17 
114.0 	 1.1133802685e-17 
114.5 	 7.46098982e-18 
115.0 	 4.650022619999999e-18 
115.5 	 2.8227085564999996e-18 
116.0 	 1.3967848835000002e-18 
116.5 	 3.9690063499999995e-19 
117.0 	 1.1426463700000001e-19 
117.5 	 4.730244145000001e-20 
118.0 	 3.0742362615000007e-20 
118.5 	 2.2340292199999996e-20 
119.0 	 1.5233381945000002e-20 
119.5 	 9.616882395e-21 
120.0 	 6.198186910000001e-21 
120.5 	 3.1910479050000003e-21 
121.0 	 1.128987486e-21 
121.5 	 7.137032245e-24 
122.0 	 0.0 
122.5 	 0.0 
123.0 	 0.0 
123.5 	 0.0 
124.0 	 0.0 
124.5 	 0.0 
125.0 	 0.0 
125.5 	 0.0 
126.0 	 0.0 
126.5 	 0.0 
127.0 	 0.0 
127.5 	 0.0 
128.0 	 0.0 
128.5 	 0.0 
129.0 	 0.0 
129.5 	 0.0 
130.0 	 0.0 
130.5 	 0.0 
131.0 	 0.0 
131.5 	 0.0 
132.0 	 0.0 
132.5 	 0.0 
133.0 	 0.0 
133.5 	 0.0 
134.0 	 0.0 
134.5 	 0.0 
135.0 	 0.0 
135.5 	 0.0 
136.0 	 0.0 
136.5 	 0.0 
137.0 	 0.0 
137.5 	 0.0 
138.0 	 0.0 
138.5 	 0.0 
139.0 	 0.0 
139.5 	 0.0 
140.0 	 0.0 
140.5 	 0.0 
141.0 	 0.0 
141.5 	 0.0 
142.0 	 0.0 
142.5 	 0.0 
143.0 	 0.0 
143.5 	 0.0 
144.0 	 0.0 
144.5 	 0.0 
145.0 	 0.0 
145.5 	 0.0 
146.0 	 0.0 
146.5 	 0.0 
147.0 	 0.0 
147.5 	 0.0 
148.0 	 0.0 
148.5 	 0.0 
149.0 	 0.0 
149.5 	 0.0 
150.0 	 0.0 
150.5 	 0.0 
151.0 	 0.0 
151.5 	 0.0 
152.0 	 0.0 
152.5 	 0.0 
153.0 	 0.0 
153.5 	 0.0 
154.0 	 0.0 
154.5 	 0.0 
155.0 	 0.0 
155.5 	 0.0 
156.0 	 0.0 
156.5 	 0.0 
157.0 	 0.0 
157.5 	 0.0 
158.0 	 0.0 
158.5 	 0.0 
159.0 	 0.0 
159.5 	 0.0 
160.0 	 0.0 
160.5 	 0.0 
161.0 	 0.0 
161.5 	 0.0 
162.0 	 0.0 
162.5 	 0.0 
163.0 	 0.0 
163.5 	 0.0 
164.0 	 0.0 
164.5 	 0.0 
165.0 	 0.0 
165.5 	 0.0 
166.0 	 0.0 
166.5 	 0.0 
167.0 	 0.0 
167.5 	 0.0 
168.0 	 0.0 
168.5 	 0.0 
