energy 	 rate 
0.001 	 4.47757e-08 
0.00102474 	 4.47756e-08 
0.00105009 	 4.47755e-08 
0.00107606 	 4.4775400000000004e-08 
0.00110268 	 4.4775300000000005e-08 
0.00112996 	 4.47752e-08 
0.00115791 	 4.4775099999999994e-08 
0.00118656 	 4.4774999999999996e-08 
0.00121591 	 4.47749e-08 
0.00124599 	 4.47748e-08 
0.00127681 	 4.47747e-08 
0.0013084 	 4.47746e-08 
0.00134076 	 4.47745e-08 
0.00137393 	 4.47744e-08 
0.00140792 	 4.47743e-08 
0.00144275 	 4.4774100000000007e-08 
0.00147844 	 4.4774e-08 
0.00151501 	 4.47739e-08 
0.00155249 	 4.4773800000000004e-08 
0.00159089 	 4.477359999999999e-08 
0.00163025 	 4.47735e-08 
0.00167058 	 4.47734e-08 
0.0017119 	 4.47732e-08 
0.00175425 	 4.47731e-08 
0.00179765 	 4.47729e-08 
0.00184212 	 4.47728e-08 
0.00188768 	 4.4772600000000005e-08 
0.00193438 	 4.47725e-08 
0.00198223 	 4.4772299999999995e-08 
0.00203127 	 4.47721e-08 
0.00208152 	 4.4772e-08 
0.00213301 	 4.47718e-08 
0.00218578 	 4.47716e-08 
0.00223985 	 4.4771400000000006e-08 
0.00229525 	 4.47712e-08 
0.00235203 	 4.4771000000000004e-08 
0.00241022 	 4.47708e-08 
0.00246984 	 4.4770599999999996e-08 
0.00253094 	 4.47704e-08 
0.00259355 	 4.47702e-08 
0.00265771 	 4.477e-08 
0.00272345 	 4.47698e-08 
0.00279082 	 4.47695e-08 
0.00285986 	 4.47693e-08 
0.00293061 	 4.47691e-08 
0.0030031 	 4.47688e-08 
0.00307739 	 4.47686e-08 
0.00315352 	 4.4768300000000004e-08 
0.00323153 	 4.476800000000001e-08 
0.00331147 	 4.47678e-08 
0.00339339 	 4.4767499999999994e-08 
0.00347733 	 4.47672e-08 
0.00356335 	 4.47669e-08 
0.0036515 	 4.4766600000000005e-08 
0.00374183 	 4.4766299999999995e-08 
0.0038344 	 4.4766e-08 
0.00392925 	 4.4765600000000003e-08 
0.00402645 	 4.476530000000001e-08 
0.00412606 	 4.4765e-08 
0.00422812 	 4.4764599999999996e-08 
0.00433272 	 4.47643e-08 
0.0044399 	 4.4763900000000004e-08 
0.00454973 	 4.4763499999999996e-08 
0.00466228 	 4.4763099999999994e-08 
0.00477761 	 4.47627e-08 
0.0048958 	 4.4762300000000004e-08 
0.00501691 	 4.4761899999999995e-08 
