energy 	 rate 
0.5 	 3.3940347404736554e-07 
2.5 	 2.288386819676873e-07 
4.5 	 1.866129348437671e-07 
6.5 	 4.848090860118246e-08 
8.5 	 3.660555699356075e-08 
10.5 	 2.9549213598673312e-08 
12.5 	 2.5797323565269872e-08 
14.5 	 2.1832763519501226e-08 
16.5 	 1.8229764360078764e-08 
18.5 	 1.667746820635204e-08 
20.5 	 1.3859303183457395e-08 
22.5 	 1.2397268010510279e-08 
24.5 	 1.1187954104276733e-08 
26.5 	 9.618500281086918e-09 
28.5 	 9.372139276266444e-09 
30.5 	 8.304202945888084e-09 
32.5 	 7.043899353858774e-09 
34.5 	 6.522719392812736e-09 
36.5 	 6.046064315751558e-09 
38.5 	 5.38130042534865e-09 
40.5 	 5.0884323321781525e-09 
42.5 	 4.307522956939189e-09 
44.5 	 4.013376939622976e-09 
46.5 	 3.6677535520956358e-09 
48.5 	 3.1056894728017486e-09 
50.5 	 3.0598082626860834e-09 
52.5 	 2.652859196918837e-09 
54.5 	 2.6750963753534163e-09 
56.5 	 2.2812449121382586e-09 
58.5 	 2.092958819853578e-09 
60.5 	 1.784222896929695e-09 
62.5 	 1.7036847245689613e-09 
64.5 	 1.6221413582610283e-09 
66.5 	 1.4089034733472584e-09 
68.5 	 1.3223371760788715e-09 
70.5 	 1.0861658891455095e-09 
72.5 	 9.858743365047278e-10 
74.5 	 9.40346834424584e-10 
76.5 	 8.68358138211467e-10 
78.5 	 7.111234229215029e-10 
80.5 	 7.38789741393179e-10 
82.5 	 6.22072955786929e-10 
84.5 	 4.966427894699125e-10 
86.5 	 4.843566071361422e-10 
88.5 	 4.951114647838968e-10 
90.5 	 4.0717642962221767e-10 
92.5 	 3.621904982641449e-10 
94.5 	 3.245732501928509e-10 
96.5 	 2.735511161003936e-10 
98.5 	 2.6574399724539466e-10 
100.5 	 2.6573190241595247e-10 
102.5 	 1.95457739752133e-10 
104.5 	 2.5590516308887237e-10 
106.5 	 1.951800915199589e-10 
108.5 	 2.1332398858756781e-10 
110.5 	 1.7594927805575715e-10 
112.5 	 1.8987528871791118e-10 
114.5 	 1.6927021241464377e-10 
116.5 	 1.5850547949889303e-10 
118.5 	 1.3420450190242026e-10 
120.5 	 1.0528251573304559e-10 
122.5 	 1.385777580471141e-10 
124.5 	 8.110027478744045e-11 
126.5 	 9.26822012804836e-11 
128.5 	 8.398556521308746e-11 
130.5 	 8.176495194191981e-11 
132.5 	 7.910141228756461e-11 
134.5 	 5.3819889513957166e-11 
136.5 	 5.96386757827554e-11 
138.5 	 7.596514733417361e-11 
140.5 	 7.830964552560919e-11 
142.5 	 3.9170451943876844e-11 
144.5 	 5.52213921220489e-11 
146.5 	 3.731211059332999e-11 
148.5 	 4.1929508024572354e-11 
150.5 	 4.449979060444192e-11 
152.5 	 1.7475378285518925e-11 
154.5 	 2.055805003840671e-11 
156.5 	 4.187250987701407e-11 
158.5 	 2.5140528331618453e-11 
160.5 	 2.763368818141151e-11 
162.5 	 1.9061426503758673e-11 
164.5 	 2.3795571114335464e-11 
166.5 	 1.0494459686513082e-11 
168.5 	 2.4474335345454504e-11 
170.5 	 2.06775220242059e-11 
172.5 	 8.685294493331487e-12 
174.5 	 1.745555206635799e-11 
176.5 	 2.0604519840090924e-11 
178.5 	 1.4321021621395765e-11 
180.5 	 1.8279843752173154e-11 
182.5 	 1.7570938446401884e-12 
184.5 	 1.508057639964357e-11 
186.5 	 1.1980317860660896e-11 
188.5 	 1.3941213057235712e-11 
190.5 	 1.7069796450989961e-12 
192.5 	 5.7842304630519675e-12 
194.5 	 8.731368485974776e-13 
196.5 	 7.154784270057674e-12 
198.5 	 1.2174367961183157e-11 
200.5 	 2.4671754074754943e-12 
202.5 	 1.533843744320468e-11 
204.5 	 1.1361391293530055e-11 
206.5 	 8.394329129613194e-12 
208.5 	 1.3210548576594126e-13 
210.5 	 6.700514228914425e-12 
212.5 	 4.1086164313597316e-12 
214.5 	 9.203347711050447e-14 
216.5 	 7.801471964228586e-12 
218.5 	 1.2661884045745557e-12 
220.5 	 5.988129733645683e-12 
222.5 	 8.78157890891498e-12 
224.5 	 0.0 
226.5 	 1.0675324279114792e-11 
228.5 	 6.568014653552495e-12 
230.5 	 4.1086164313597316e-12 
232.5 	 1.949992416166189e-13 
234.5 	 5.413078670883488e-12 
236.5 	 3.25177239342474e-12 
238.5 	 1.2972797265727812e-11 
240.5 	 5.413078670883488e-12 
242.5 	 9.092686453889841e-13 
244.5 	 2.4566733728002275e-13 
246.5 	 3.463557925365281e-13 
248.5 	 2.143480606214291e-12 
250.5 	 0.0 
252.5 	 0.0 
254.5 	 0.0 
256.5 	 0.0 
258.5 	 1.4211900841305084e-12 
260.5 	 0.0 
262.5 	 0.0 
264.5 	 2.4566733728002275e-13 
266.5 	 0.0 
268.5 	 0.0 
270.5 	 0.0 
272.5 	 0.0 
274.5 	 0.0 
276.5 	 0.0 
278.5 	 1.5361991039249051e-12 
280.5 	 0.0 
282.5 	 0.0 
284.5 	 0.0 
286.5 	 0.0 
288.5 	 0.0 
290.5 	 0.0 
292.5 	 0.0 
294.5 	 0.0 
296.5 	 3.9852625750174655e-12 
298.5 	 0.0 
