mass	cl	exp	ps1	ps2	ns1
5.0	131926121.37203166	2003324.5382585751	133929445.91029024	133929445.91029024	1740158.3113456464
7.0	4807692.307692308	78831.73076923077	4886524.038461539	4886524.038461539	65206.730769230766
10.0	2585.0	3499.9122807017548	10891.052631578948	442096.4035087719	2687.7192982456145
12.0	3600.814814814815	1718.7037037037037	4174.814814814815	186903.88888888888	1142.5555555555557
14.0	324.8340248962656	655.3941908713693	2068.112033195021	104389.83402489628	445.7261410788382
17.0	-1190.4761904761906	404.6071428571429	1169.452380952381	1486.1547619047622	312.4642857142857
21.0	456.5038759689922	223.94573643410854	644.2015503875969	950.5348837209302	138.8527131782946
33.0	336.04390243902435	194.21951219512195	538.7317073170732	24584.463414634145	148.22926829268295
200.0	638.4784889821616	413.2528856243442	1109.4228751311648	52879.1500524659	245.97061909758656
400.0	1883.83877159309	710.8829174664107	2104.779270633397	96680.17274472168	630.9021113243762
