energy 	 mean 	 psig1 	 nsig1 	 psig2 	 nsig2 
0 	 2.644523809523809 	 2.877730772388017 	 2.4113168466596004 	 3.344144698116434 	 1.9449029209311837 
1 	 2.8957509881422925 	 3.1227259159096437 	 2.6687760603749413 	 3.5766757714443465 	 2.2148262048402385 
2 	 3.0675106269925605 	 3.267738694733569 	 2.867282559251552 	 3.6681948302155867 	 2.4668264237695343 
3 	 3.1995359211144154 	 3.3697183285740375 	 3.0293535136547933 	 3.7100831434932813 	 2.6889886987355496 
4 	 3.3026800703009003 	 3.4487516228467054 	 3.156608517755095 	 3.740894727938316 	 2.8644654126634848 
5 	 3.387060794533748 	 3.5174174512088747 	 3.2567041378586215 	 3.7781307645591284 	 2.9959908245083677 
6 	 3.4563835653835646 	 3.5761303043288666 	 3.3366368264382626 	 3.815623782219471 	 3.0971433485476583 
7 	 3.513921088864189 	 3.626045852868057 	 3.4017963248603214 	 3.8502953808757927 	 3.1775467968525857 
8 	 3.5638023190045245 	 3.6716864818665425 	 3.4559181561425065 	 3.8874548075905784 	 3.2401498304184706 
9 	 3.6066264949683413 	 3.7096204253999545 	 3.503632564536728 	 3.9156082862631805 	 3.297644703673502 
10 	 3.643527921092564 	 3.7427602930091433 	 3.544295549175985 	 3.941225036842301 	 3.3458308053428274 
11 	 3.676889921523143 	 3.773362695985294 	 3.5804171470609925 	 3.966308244909596 	 3.3874715981366905 
12 	 3.706407481790113 	 3.8003165982027656 	 3.6124983653774607 	 3.988134831028071 	 3.4246801325521554 
13 	 3.7332789982228456 	 3.824904997383028 	 3.6416529990626634 	 4.008156995703392 	 3.458401000742299 
14 	 3.757561046816283 	 3.8465203579455705 	 3.668601735686995 	 4.024438980204146 	 3.4906831134284197 
15 	 3.779668939096859 	 3.866707195616623 	 3.692630682577095 	 4.04078370865615 	 3.5185541695375675 
16 	 3.80039878225223 	 3.8857910077248983 	 3.715006556779562 	 4.056575458670235 	 3.5442221058342254 
17 	 3.8195049839880926 	 3.9030992136212923 	 3.735910754354893 	 4.070287672887692 	 3.568722295088494 
18 	 3.8377205155102656 	 3.919692366465828 	 3.7557486645547034 	 4.083636068376952 	 3.5918049626435784 
19 	 3.8543464730290458 	 3.9349924953277133 	 3.773700450730378 	 4.0962845399250485 	 3.612408406133043 
20 	 3.8702706073263813 	 3.949753979173884 	 3.7907872354788785 	 4.108720722868889 	 3.6318204917838735 
21 	 3.884681769308883 	 3.9626991650162884 	 3.8066643736014774 	 4.118733956431099 	 3.6506295821866663 
22 	 3.8981844930596115 	 3.9748436418751054 	 3.8215253442441175 	 4.128161939506094 	 3.668207046613129 
23 	 3.911890579109873 	 3.987316498782705 	 3.836464659437041 	 4.13816833812837 	 3.685612820091376 
24 	 3.9250861199355604 	 3.999298679440181 	 3.85087356043094 	 4.147723798449422 	 3.7024484414216987 
25 	 3.937177652152995 	 4.010338609586168 	 3.864016694719821 	 4.156660524452516 	 3.717694779853474 
26 	 3.948415402233038 	 4.020876754847335 	 3.8759540496187417 	 4.165799460075928 	 3.731031344390148 
27 	 3.9592463533225297 	 4.030954212764956 	 3.8875384938801036 	 4.174369931649808 	 3.744122774995251 
28 	 3.9703100705924395 	 4.041270898573612 	 3.8993492426112666 	 4.183192554535958 	 3.757427586648921 
29 	 3.9804559699153854 	 4.050493527535543 	 3.910418412295228 	 4.190568642775857 	 3.770343297054914 
30 	 3.9901342923853282 	 4.058748703790526 	 3.921519880980131 	 4.19597752660092 	 3.7842910581697367 
31 	 3.999522549227187 	 4.0671308159124395 	 3.9319142825419346 	 4.2023473492829435 	 3.79669774917143 
32 	 4.008271492387639 	 4.075648370976608 	 3.94089461379867 	 4.210402128154546 	 3.8061408566207318 
33 	 4.017106521869923 	 4.083958956108341 	 3.9502540876315058 	 4.217663824585176 	 3.816549219154671 
34 	 4.025397422126746 	 4.091449414421836 	 3.959345429831655 	 4.223553399012019 	 3.8272414452414734 
35 	 4.033264602245581 	 4.098900594001145 	 3.9676286104900185 	 4.2301725775122705 	 3.8363566269788922 
36 	 4.041229324988824 	 4.106674959971238 	 3.9757836900064096 	 4.237566229936067 	 3.844892420041581 
37 	 4.04864823760959 	 4.113398832573988 	 3.9838976426451924 	 4.242900022502782 	 3.8543964527163976 
38 	 4.055791631623214 	 4.119802977785151 	 3.9917802854612776 	 4.247825670109025 	 3.863757593137404 
39 	 4.063094199936413 	 4.126398840550209 	 3.9997895593226165 	 4.253008121777802 	 3.873180278095023 
40 	 4.069717672608813 	 4.132281507813902 	 4.007153837403724 	 4.25740917822408 	 3.8820261669935463 
41 	 4.076535342350969 	 4.138578930648521 	 4.014491754053417 	 4.262666107243626 	 3.890404577458312 
42 	 4.083327172595441 	 4.145224585583031 	 4.021429759607851 	 4.269019411558211 	 3.897634933632671 
43 	 4.089807041299932 	 4.151300252592288 	 4.028313830007575 	 4.274286675177001 	 3.905327407422863 
44 	 4.095673302459853 	 4.156811349955438 	 4.034535254964268 	 4.279087444946607 	 3.9122591599731 
45 	 4.1016352442379675 	 4.162346003377681 	 4.040924485098254 	 4.283767521657108 	 3.9195029668188277 
46 	 4.1076114726259 	 4.167938338153583 	 4.0472846070982165 	 4.288592069208948 	 3.9266308760428505 
47 	 4.113280412185842 	 4.173102397222272 	 4.053458427149413 	 4.292746367295131 	 3.9338144570765534 
48 	 4.118874540406692 	 4.178121391861769 	 4.059627688951615 	 4.296615094771922 	 3.941133986041461 
49 	 4.124495379597753 	 4.183847890369498 	 4.065142868826007 	 4.30255291191299 	 3.9464378472825152 
50 	 4.12973912651688 	 4.18876854100164 	 4.07070971203212 	 4.30682736997116 	 3.9526508830626006 
51 	 4.134818851980042 	 4.193275566605146 	 4.076362137354939 	 4.310188995855354 	 3.9594487081047305 
52 	 4.140155945126527 	 4.198352151128038 	 4.081959739125017 	 4.31474456313106 	 3.9655673271219944 
53 	 4.145163745145377 	 4.203171812903287 	 4.087155677387466 	 4.319187948419107 	 3.9711395418716458 
54 	 4.150128807737502 	 4.2077848142044365 	 4.092472801270568 	 4.323096827138306 	 3.977160788336698 
55 	 4.1545516059184395 	 4.211781090936042 	 4.097322120900837 	 4.326240060971247 	 3.982863150865632 
56 	 4.158893286250804 	 4.2156914249746285 	 4.10209514752698 	 4.329287702422277 	 3.988498870079332 
57 	 4.16356801873704 	 4.220320973093651 	 4.106815064380429 	 4.333826881806873 	 3.993309155667207 
58 	 4.168062522393407 	 4.224731518913114 	 4.1113935258737 	 4.338069511952527 	 3.9980555328342855 
59 	 4.172206182472989 	 4.2284341856487115 	 4.115978179297266 	 4.340890192000158 	 4.00352217294582 
60 	 4.1764624393458325 	 4.23257557035891 	 4.120349308332755 	 4.344801832385066 	 4.008123046306599 
