mass	ucl	median	nsig1	psig1	nsig2	psig2
5.0 0.04949664429530201 0.16505872483221476 0.10320469798657718 0.2524496644295302 0.370998322147651 0.043070469798657716
7.0 0.0007214253697893322 0.001972097714029583 0.001424585387718512 0.003944755714926042 0.006433774092335276 0.00025862841774988796
10.0 8.805941845764854e-05 0.00012801517067003793 7.345764854614411e-05 0.00025441845764854614 0.0003859987357774968 -0.0008157395701643489
12.0 2.4882236407660138e-05 4.612590799031477e-05 2.7589698437156065e-05 9.042703059652214e-05 0.00013773497688751926 8.496588157605107e-07
14.0 8.005980988999253e-06 2.287087471964114e-05 1.4513510626935812e-05 4.708533589661433e-05 6.768450283028943e-05 2.4650218946918723e-06
21.0 1.9313424504605078e-06 7.530002790957298e-06 5.10521909014792e-06 1.4238905944739045e-05 2.189478090985208e-05 -5.58191459670667e-05
33.0 2.654026679841897e-06 4.63574604743083e-06 1.9019268774703558e-06 7.742465415019763e-06 1.2700098814229249e-05 -2.4703557312252964e-05
50.0 4.535727611940299e-06 3.4773320895522388e-06 1.7664179104477612e-06 6.002798507462686e-06 9.584701492537313e-06 -1.8656716417910448e-05
100.0 7.227393323015697e-06 4.439752376741102e-06 2.2213132876409463e-06 7.1476895865575945e-06 1.0736458103028962e-05 1.146584125580367e-06
1000.0 6.410142497904443e-05 3.348113998323554e-05 1.5088851634534786e-05 5.857418273260687e-05 8.262950544844929e-05 -0.00016764459346186087
4000.0 0.00022728113643871823 0.00012897258011232242 5.312190287413281e-05 0.00021656755863891643 0.0004250479022134126 -0.0006607201850016518
10000.0 0.0005995304777594727 0.00029410214168039536 0.0001397528830313015 0.0005461943986820428 0.0009872981878088962 -0.0010670263591433277
