mass	ucl	median	
5.0 8.735208535402522e-06 1.8102812803103784e-05
7.0 1.480057863194875e-07 4.384996900185989e-07
10.0 2.1169539219134718e-08 3.6945128385508264e-08
12.0 7.804606240713224e-09 1.616864784546805e-08
14.0 3.892541087231353e-09 1.0050990307627476e-08
21.0 1.0869357154251078e-09 4.751475514436114e-09
33.0 1.143815723585378e-09 2.827541311967952e-09
50.0 2.0555973659454372e-09 3.214111006585136e-09
100.0 4.7756174461376775e-09 5.023778244876511e-09
1000.0 4.600887157849183e-08 3.9360597208698474e-08
4000.0 1.5716181506849315e-07 1.4626712328767123e-07
10000.0 4.15387903398162e-07 3.6944860012823255e-07
