energy 	 mean 	 psig1 	 nsig1 	 psig2 	 nsig2 
0 	 2.675 	 2.719027963142342 	 2.6309720368576577 	 2.8070838894270262 	 2.5429161105729734 
1 	 2.7697206385404787 	 2.862803261176325 	 2.6766380159046324 	 3.048968506448018 	 2.4904727706329393 
2 	 2.8886801640184525 	 3.003739430324404 	 2.773620897712501 	 3.2338579629363076 	 2.5435023651005975 
3 	 2.9975346163356136 	 3.111628731753958 	 2.8834405009172692 	 3.3398169625906466 	 2.6552522700805805 
4 	 3.095934413598263 	 3.195864904368314 	 2.996003922828212 	 3.395725885908416 	 2.79614294128811 
5 	 3.1771128153124595 	 3.26553412066221 	 3.088691509962709 	 3.4423767313617115 	 2.9118488992632074 
6 	 3.243654492827651 	 3.3239283527435877 	 3.1633806329117142 	 3.484476072575462 	 3.00283291307984 
7 	 3.2996722436611328 	 3.37436213152409 	 3.2249823557981756 	 3.523741907250004 	 3.0756025800722617 
8 	 3.3476109069309876 	 3.418056820093849 	 3.2771649937681264 	 3.5589486464195716 	 3.1362731674424036 
9 	 3.389183608428287 	 3.455979938087776 	 3.322387278768798 	 3.589572597406754 	 3.18879461944982 
10 	 3.4252814792452835 	 3.4892363632224037 	 3.3613265952681632 	 3.6171461311766437 	 3.233416827313923 
11 	 3.4579656295224313 	 3.5199478720158837 	 3.395983387028979 	 3.643912357002789 	 3.2720189020420736 
12 	 3.4874134988642784 	 3.547159720369485 	 3.4276672773590717 	 3.666652163379898 	 3.3081748343486588 
13 	 3.513775749415435 	 3.5717847975181773 	 3.4557667013126925 	 3.6878028937236627 	 3.339748605107207 
14 	 3.537956526443608 	 3.594519436147104 	 3.4813936167401125 	 3.707645255554095 	 3.368267797333121 
15 	 3.5601510088291333 	 3.615354219056943 	 3.5049477986013233 	 3.725760639512563 	 3.3945413781457034 
16 	 3.580613043843743 	 3.6346134286889535 	 3.5266126589985323 	 3.7426141983793744 	 3.4186118893081114 
17 	 3.599483452875299 	 3.652477859769427 	 3.5464890459811707 	 3.7584666735576837 	 3.440500232192914 
18 	 3.617327883192437 	 3.6692685231058837 	 3.56538724327899 	 3.773149802932777 	 3.461505963452097 
19 	 3.6339036025514333 	 3.6849908380395635 	 3.582816367063303 	 3.787165309015824 	 3.4806418960870427 
