energy 	 rate 
0.1 	 3.4391e-14 
1.1 	 8.2838e-12 
2.1 	 4.4446e-11 
3.1 	 1.2507e-10 
4.1 	 2.6342e-10 
5.1 	 4.6981e-10 
6.1 	 7.5194e-10 
7.1 	 1.1152e-09 
8.1 	 1.5629e-09 
9.1 	 2.0967e-09 
10.1 	 2.7165e-09 
11.1 	 3.4209e-09 
12.1 	 4.2075e-09 
13.1 	 5.0728e-09 
14.1 	 6.0125e-09 
15.1 	 7.0215e-09 
16.1 	 8.0943e-09 
17.1 	 9.225e-09 
18.1 	 1.0407e-08 
19.1 	 1.1635e-08 
20.1 	 1.29e-08 
21.1 	 1.4198e-08 
22.1 	 1.552e-08 
23.1 	 1.686e-08 
24.1 	 1.8212e-08 
25.1 	 1.957e-08 
26.1 	 2.0926e-08 
27.1 	 2.2276e-08 
28.1 	 2.3613e-08 
29.1 	 2.4931e-08 
30.1 	 2.6226e-08 
31.1 	 2.7493e-08 
32.1 	 2.8727e-08 
33.1 	 2.9924e-08 
34.1 	 3.1079e-08 
35.1 	 3.219e-08 
36.1 	 3.3254e-08 
37.1 	 3.4266e-08 
38.1 	 3.5225e-08 
39.1 	 3.6128e-08 
40.1 	 3.6974e-08 
41.1 	 3.776e-08 
42.1 	 3.8486e-08 
43.1 	 3.915e-08 
44.1 	 3.9751e-08 
45.1 	 4.0289e-08 
46.1 	 4.0763e-08 
47.1 	 4.1175e-08 
48.1 	 4.1522e-08 
49.1 	 4.1807e-08 
50.1 	 4.203e-08 
51.1 	 4.219e-08 
52.1 	 4.2291e-08 
53.1 	 4.2331e-08 
54.1 	 4.2314e-08 
55.1 	 4.2239e-08 
56.1 	 4.2109e-08 
57.1 	 4.1926e-08 
58.1 	 4.169e-08 
59.1 	 4.1404e-08 
60.1 	 4.107e-08 
61.1 	 4.069e-08 
62.1 	 4.0265e-08 
63.1 	 3.9799e-08 
64.1 	 3.9292e-08 
65.1 	 3.8747e-08 
66.1 	 3.8167e-08 
67.1 	 3.7553e-08 
68.1 	 3.6909e-08 
69.1 	 3.6235e-08 
70.1 	 3.5534e-08 
71.1 	 3.4809e-08 
72.1 	 3.4061e-08 
73.1 	 3.3293e-08 
74.1 	 3.2506e-08 
75.1 	 3.1704e-08 
76.1 	 3.0888e-08 
77.1 	 3.0059e-08 
78.1 	 2.9221e-08 
79.1 	 2.8374e-08 
80.1 	 2.7521e-08 
81.1 	 2.6664e-08 
82.1 	 2.5804e-08 
83.1 	 2.4943e-08 
84.1 	 2.4083e-08 
85.1 	 2.3225e-08 
86.1 	 2.237e-08 
87.1 	 2.1521e-08 
88.1 	 2.0678e-08 
89.1 	 1.9843e-08 
90.1 	 1.9018e-08 
91.1 	 1.8202e-08 
92.1 	 1.7398e-08 
93.1 	 1.6607e-08 
94.1 	 1.5829e-08 
95.1 	 1.5065e-08 
96.1 	 1.4317e-08 
97.1 	 1.3584e-08 
98.1 	 1.2869e-08 
99.1 	 1.2171e-08 
100.1 	 1.1491e-08 
101.1 	 1.0829e-08 
102.1 	 1.0187e-08 
103.1 	 9.5642e-09 
104.1 	 8.9614e-09 
105.1 	 8.3789e-09 
106.1 	 7.817e-09 
107.1 	 7.2758e-09 
108.1 	 6.7556e-09 
109.1 	 6.2565e-09 
110.1 	 5.7786e-09 
111.1 	 5.322e-09 
112.1 	 4.8865e-09 
113.1 	 4.4723e-09 
114.1 	 4.0792e-09 
115.1 	 3.7072e-09 
116.1 	 3.356e-09 
117.1 	 3.0255e-09 
118.1 	 2.7155e-09 
119.1 	 2.4257e-09 
120.1 	 2.156e-09 
121.1 	 1.9059e-09 
122.1 	 1.6752e-09 
123.1 	 1.4636e-09 
124.1 	 1.2706e-09 
125.1 	 1.0959e-09 
126.1 	 9.3911e-10 
127.1 	 7.998e-10 
128.1 	 6.7755e-10 
129.1 	 5.7191e-10 
130.1 	 4.8242e-10 
131.1 	 4.0861e-10 
132.1 	 3.5001e-10 
133.1 	 3.0614e-10 
134.1 	 2.7649e-10 
135.1 	 2.6058e-10 
136.1 	 2.579e-10 
137.1 	 2.6793e-10 
