bin weight  y_error x_error
-1.0 0.0 0.0 1.0
1.0 0.0 0.0 1.0
3.0 0.0 0.0 1.0
5.0 0.0 0.0 1.0
7.0 0.0 0.0 1.0
9.0 0.0 0.0 1.0
11.0 0.0 0.0 1.0
13.0 0.0 0.0 1.0
15.0 2.0 1.4142135623730951 1.0
17.0 6.0 2.4494897427831783 1.0
19.0 12.0 3.4641016151377553 1.0
21.0 17.0 4.1231056256176615 1.0
23.0 10.0 3.16227766016838 1.0
25.0 9.0 3.0000000000000004 1.0
27.0 12.0 3.4641016151377553 1.0
29.0 11.0 3.3166247903554003 1.0
31.0 12.0 3.4641016151377553 1.0
33.0 24.0 4.8989794855663575 1.0
35.0 34.0 5.830951894845301 1.0
37.0 32.0 5.6568542494923815 1.0
39.0 40.0 6.324555320336758 1.0
41.0 31.0 5.567764362830023 1.0
43.0 28.0 5.291502622129182 1.0
45.0 15.0 3.872983346207418 1.0
47.0 11.0 3.3166247903554003 1.0
49.0 11.0 3.3166247903554003 1.0
51.0 10.0 3.16227766016838 1.0
53.0 17.0 4.1231056256176615 1.0
55.0 14.0 3.741657386773942 1.0
57.0 14.0 3.741657386773942 1.0
59.0 26.0 5.099019513592786 1.0
61.0 40.0 6.324555320336758 1.0
63.0 87.0 9.327379053088816 1.0
65.0 96.0 9.797958971132713 1.0
67.0 149.0 12.206555615733702 1.0
69.0 88.0 9.38083151964686 1.0
71.0 51.0 7.141428428542849 1.0
73.0 17.0 4.1231056256176615 1.0
75.0 23.0 4.795831523312721 1.0
77.0 24.0 4.8989794855663575 1.0
79.0 61.0 7.810249675906654 1.0
81.0 103.0 10.14889156509222 1.0
83.0 139.0 11.789826122551595 1.0
85.0 135.0 11.618950038622252 1.0
87.0 149.0 12.206555615733702 1.0
89.0 142.0 11.916375287812984 1.0
91.0 164.0 12.806248474865695 1.0
93.0 154.0 12.409673645990855 1.0
95.0 154.0 12.409673645990855 1.0
97.0 174.0 13.190905958272918 1.0
99.0 167.0 12.922847983320084 1.0
101.0 145.0 12.041594578792296 1.0
103.0 172.0 13.114877048604 1.0
105.0 145.0 12.041594578792296 1.0
107.0 133.0 11.532562594670797 1.0
109.0 139.0 11.789826122551595 1.0
111.0 147.0 12.12435565298214 1.0
113.0 149.0 12.206555615733702 1.0
115.0 175.0 13.228756555322953 1.0
117.0 145.0 12.041594578792296 1.0
119.0 141.0 11.874342087037917 1.0
121.0 155.0 12.44989959798873 1.0
123.0 139.0 11.789826122551595 1.0
125.0 152.0 12.328828005937952 1.0
127.0 151.0 12.288205727444506 1.0
129.0 175.0 13.228756555322953 1.0
131.0 156.0 12.489995996796795 1.0
133.0 165.0 12.845232578665128 1.0
135.0 165.0 12.845232578665128 1.0
137.0 148.0 12.165525060596439 1.0
139.0 137.0 11.704699910719626 1.0
141.0 137.0 11.704699910719626 1.0
143.0 131.0 11.445523142259598 1.0
145.0 130.0 11.40175425099138 1.0
147.0 159.0 12.609520212918488 1.0
149.0 154.0 12.409673645990855 1.0
151.0 137.0 11.704699910719626 1.0
153.0 196.0 14.0 1.0
155.0 333.0 18.248287590894662 1.0
157.0 751.0 27.404379212089456 1.0
159.0 1588.0 39.84971769034259 1.0
161.0 2874.0 53.609700614720836 1.0
163.0 4103.0 64.05466415492324 1.0
165.0 4585.0 67.71262806892088 1.0
167.0 4108.0 64.09368143584832 1.0
169.0 2936.0 54.18486873657626 1.0
171.0 1761.0 41.964270516714585 1.0
173.0 907.0 30.116440692751198 1.0
175.0 448.0 21.166010488516733 1.0
177.0 211.0 14.52583904633395 1.0
179.0 159.0 12.609520212918488 1.0
181.0 132.0 11.489125293076057 1.0
183.0 141.0 11.874342087037917 1.0
185.0 139.0 11.789826122551595 1.0
187.0 121.0 10.999999999999996 1.0
189.0 152.0 12.328828005937952 1.0
191.0 130.0 11.40175425099138 1.0
193.0 161.0 12.688577540449518 1.0
195.0 187.0 13.674794331177344 1.0
197.0 256.0 16.0 1.0
199.0 429.0 20.71231517720798 1.0
201.0 735.0 27.11088342345194 1.0
203.0 1116.0 33.40658617698012 1.0
205.0 1560.0 39.49683531626303 1.0
207.0 1858.0 43.10452412450462 1.0
209.0 1958.0 44.24929377967517 1.0
211.0 1824.0 42.70831300812525 1.0
213.0 1385.0 37.2155881318568 1.0
215.0 940.0 30.659419433511783 1.0
217.0 586.0 24.207436873820427 1.0
219.0 412.0 20.297783130184442 1.0
221.0 289.0 17.0 1.0
223.0 296.0 17.204650534085257 1.0
225.0 467.0 21.610182784974317 1.0
227.0 912.0 30.199337741083 1.0
229.0 1809.0 42.53234063627349 1.0
231.0 3452.0 58.75372328627357 1.0
233.0 5722.0 75.64390259630989 1.0
235.0 7928.0 89.03931715820849 1.0
237.0 9449.0 97.20596689504215 1.0
239.0 9666.0 98.3158176490438 1.0
241.0 8437.0 91.85314365877774 1.0
243.0 6276.0 79.2212092813537 1.0
245.0 4187.0 64.70703207534723 1.0
247.0 2395.0 48.938737212968626 1.0
249.0 1261.0 35.51056180912944 1.0
251.0 615.0 24.7991935352745 1.0
253.0 282.0 16.792855623746668 1.0
255.0 133.0 11.532562594670797 1.0
257.0 100.0 10.0 1.0
259.0 104.0 10.198039027185569 1.0
261.0 87.0 9.327379053088816 1.0
263.0 81.0 9.0 1.0
265.0 92.0 9.591663046625438 1.0
267.0 98.0 9.899494936611665 1.0
269.0 109.0 10.440306508910549 1.0
271.0 144.0 12.0 1.0
273.0 158.0 12.569805089976532 1.0
275.0 171.0 13.07669683062202 1.0
277.0 175.0 13.228756555322953 1.0
279.0 193.0 13.892443989449804 1.0
281.0 158.0 12.569805089976532 1.0
283.0 120.0 10.954451150103319 1.0
285.0 108.0 10.392304845413262 1.0
287.0 106.0 10.295630140986999 1.0
289.0 84.0 9.16515138991168 1.0
291.0 107.0 10.3440804327886 1.0
293.0 87.0 9.327379053088816 1.0
295.0 76.0 8.717797887081346 1.0
297.0 80.0 8.94427190999916 1.0
299.0 76.0 8.717797887081346 1.0
301.0 111.0 10.535653752852737 1.0
303.0 80.0 8.94427190999916 1.0
305.0 98.0 9.899494936611665 1.0
307.0 97.0 9.848857801796106 1.0
309.0 93.0 9.643650760992955 1.0
311.0 92.0 9.591663046625438 1.0
313.0 87.0 9.327379053088816 1.0
315.0 104.0 10.198039027185569 1.0
317.0 95.0 9.746794344808965 1.0
319.0 90.0 9.486832980505138 1.0
321.0 96.0 9.797958971132713 1.0
323.0 90.0 9.486832980505138 1.0
325.0 86.0 9.273618495495704 1.0
327.0 98.0 9.899494936611665 1.0
329.0 95.0 9.746794344808965 1.0
331.0 76.0 8.717797887081346 1.0
333.0 95.0 9.746794344808965 1.0
335.0 106.0 10.295630140986999 1.0
337.0 95.0 9.746794344808965 1.0
339.0 89.0 9.433981132056603 1.0
341.0 80.0 8.94427190999916 1.0
343.0 83.0 9.1104335791443 1.0
345.0 89.0 9.433981132056603 1.0
347.0 87.0 9.327379053088816 1.0
349.0 83.0 9.1104335791443 1.0
351.0 93.0 9.643650760992955 1.0
353.0 83.0 9.1104335791443 1.0
355.0 77.0 8.77496438739212 1.0
357.0 106.0 10.295630140986999 1.0
359.0 102.0 10.099504938362077 1.0
361.0 120.0 10.954451150103319 1.0
363.0 136.0 11.661903789690601 1.0
365.0 134.0 11.575836902790227 1.0
367.0 128.0 11.313708498984758 1.0
369.0 172.0 13.114877048604 1.0
371.0 240.0 15.49193338482967 1.0
373.0 304.0 17.435595774162696 1.0
375.0 443.0 21.047565179849194 1.0
377.0 581.0 24.103941586387926 1.0
379.0 759.0 27.54995462791183 1.0
381.0 791.0 28.124722220850472 1.0
383.0 839.0 28.965496715920484 1.0
385.0 858.0 29.291637031753623 1.0
387.0 784.0 28.00000000000001 1.0
389.0 669.0 25.865034312755142 1.0
391.0 490.0 22.13594362117866 1.0
393.0 380.0 19.493588689617926 1.0
395.0 353.0 18.788294228055936 1.0
397.0 333.0 18.248287590894662 1.0
399.0 394.0 19.849433241279204 1.0
401.0 598.0 24.45403852127498 1.0
403.0 841.0 29.000000000000007 1.0
405.0 1361.0 36.891733491393445 1.0
407.0 1741.0 41.72529209005013 1.0
409.0 2274.0 47.686476070265485 1.0
411.0 2581.0 50.80354318352213 1.0
413.0 2752.0 52.45950819441599 1.0
415.0 2672.0 51.691391933280336 1.0
417.0 2489.0 49.889878733065686 1.0
419.0 1925.0 43.87482193696063 1.0
421.0 1475.0 38.405728739343054 1.0
423.0 1159.0 34.04408906109839 1.0
425.0 758.0 27.53179979587242 1.0
427.0 448.0 21.166010488516733 1.0
429.0 281.0 16.76305461424021 1.0
431.0 231.0 15.198684153570666 1.0
433.0 158.0 12.569805089976532 1.0
435.0 115.0 10.723805294763606 1.0
437.0 100.0 10.0 1.0
439.0 106.0 10.295630140986999 1.0
441.0 115.0 10.723805294763606 1.0
443.0 81.0 9.0 1.0
445.0 89.0 9.433981132056603 1.0
447.0 80.0 8.94427190999916 1.0
449.0 99.0 9.9498743710662 1.0
451.0 98.0 9.899494936611665 1.0
453.0 72.0 8.485281374238568 1.0
455.0 100.0 10.0 1.0
457.0 96.0 9.797958971132713 1.0
459.0 85.0 9.219544457292887 1.0
461.0 86.0 9.273618495495704 1.0
463.0 99.0 9.9498743710662 1.0
465.0 82.0 9.055385138137417 1.0
467.0 95.0 9.746794344808965 1.0
469.0 91.0 9.539392014169456 1.0
471.0 100.0 10.0 1.0
473.0 96.0 9.797958971132713 1.0
475.0 109.0 10.440306508910549 1.0
477.0 92.0 9.591663046625438 1.0
479.0 96.0 9.797958971132713 1.0
481.0 104.0 10.198039027185569 1.0
483.0 96.0 9.797958971132713 1.0
485.0 99.0 9.9498743710662 1.0
487.0 103.0 10.14889156509222 1.0
489.0 71.0 8.426149773176357 1.0
491.0 93.0 9.643650760992955 1.0
493.0 103.0 10.14889156509222 1.0
495.0 93.0 9.643650760992955 1.0
497.0 107.0 10.3440804327886 1.0
499.0 96.0 9.797958971132713 1.0
501.0 93.0 9.643650760992955 1.0
503.0 95.0 9.746794344808965 1.0
505.0 72.0 8.485281374238568 1.0
507.0 82.0 9.055385138137417 1.0
509.0 99.0 9.9498743710662 1.0
511.0 84.0 9.16515138991168 1.0
513.0 72.0 8.485281374238568 1.0
515.0 79.0 8.888194417315589 1.0
517.0 92.0 9.591663046625438 1.0
519.0 87.0 9.327379053088816 1.0
521.0 94.0 9.695359714832659 1.0
523.0 73.0 8.544003745317529 1.0
525.0 80.0 8.94427190999916 1.0
527.0 87.0 9.327379053088816 1.0
529.0 93.0 9.643650760992955 1.0
531.0 80.0 8.94427190999916 1.0
533.0 81.0 9.0 1.0
535.0 95.0 9.746794344808965 1.0
537.0 100.0 10.0 1.0
539.0 87.0 9.327379053088816 1.0
541.0 77.0 8.77496438739212 1.0
543.0 92.0 9.591663046625438 1.0
545.0 99.0 9.9498743710662 1.0
547.0 87.0 9.327379053088816 1.0
549.0 108.0 10.392304845413262 1.0
551.0 111.0 10.535653752852737 1.0
553.0 93.0 9.643650760992955 1.0
555.0 78.0 8.831760866327846 1.0
557.0 70.0 8.366600265340754 1.0
559.0 99.0 9.9498743710662 1.0
561.0 83.0 9.1104335791443 1.0
563.0 94.0 9.695359714832659 1.0
565.0 92.0 9.591663046625438 1.0
567.0 95.0 9.746794344808965 1.0
569.0 91.0 9.539392014169456 1.0
571.0 83.0 9.1104335791443 1.0
573.0 82.0 9.055385138137417 1.0
575.0 88.0 9.38083151964686 1.0
577.0 99.0 9.9498743710662 1.0
579.0 92.0 9.591663046625438 1.0
581.0 86.0 9.273618495495704 1.0
583.0 85.0 9.219544457292887 1.0
585.0 94.0 9.695359714832659 1.0
587.0 92.0 9.591663046625438 1.0
589.0 77.0 8.77496438739212 1.0
591.0 101.0 10.04987562112089 1.0
593.0 91.0 9.539392014169456 1.0
595.0 89.0 9.433981132056603 1.0
597.0 94.0 9.695359714832659 1.0
599.0 95.0 9.746794344808965 1.0
601.0 83.0 9.1104335791443 1.0
603.0 94.0 9.695359714832659 1.0
605.0 98.0 9.899494936611665 1.0
607.0 83.0 9.1104335791443 1.0
609.0 89.0 9.433981132056603 1.0
611.0 83.0 9.1104335791443 1.0
613.0 89.0 9.433981132056603 1.0
615.0 80.0 8.94427190999916 1.0
617.0 99.0 9.9498743710662 1.0
619.0 112.0 10.583005244258361 1.0
621.0 89.0 9.433981132056603 1.0
623.0 78.0 8.831760866327846 1.0
625.0 83.0 9.1104335791443 1.0
627.0 91.0 9.539392014169456 1.0
629.0 78.0 8.831760866327846 1.0
631.0 96.0 9.797958971132713 1.0
633.0 81.0 9.0 1.0
635.0 77.0 8.77496438739212 1.0
637.0 86.0 9.273618495495704 1.0
639.0 65.0 8.06225774829855 1.0
641.0 67.0 8.185352771872449 1.0
643.0 98.0 9.899494936611665 1.0
645.0 73.0 8.544003745317529 1.0
647.0 51.0 7.141428428542849 1.0
649.0 72.0 8.485281374238568 1.0
651.0 84.0 9.16515138991168 1.0
653.0 84.0 9.16515138991168 1.0
655.0 74.0 8.602325267042625 1.0
657.0 81.0 9.0 1.0
659.0 80.0 8.94427190999916 1.0
661.0 76.0 8.717797887081346 1.0
663.0 62.0 7.87400787401181 1.0
665.0 91.0 9.539392014169456 1.0
667.0 78.0 8.831760866327846 1.0
669.0 76.0 8.717797887081346 1.0
671.0 91.0 9.539392014169456 1.0
673.0 88.0 9.38083151964686 1.0
675.0 83.0 9.1104335791443 1.0
677.0 82.0 9.055385138137417 1.0
679.0 72.0 8.485281374238568 1.0
681.0 83.0 9.1104335791443 1.0
683.0 79.0 8.888194417315589 1.0
685.0 80.0 8.94427190999916 1.0
687.0 86.0 9.273618495495704 1.0
689.0 82.0 9.055385138137417 1.0
691.0 89.0 9.433981132056603 1.0
693.0 87.0 9.327379053088816 1.0
695.0 87.0 9.327379053088816 1.0
697.0 81.0 9.0 1.0
699.0 81.0 9.0 1.0
701.0 81.0 9.0 1.0
