bin weight
0 0
2 0
4 1231
6 2686
8 1937
10 1326
12 1159
14 1106
16 1008
18 996
20 883
22 676
24 560
26 498
28 405
30 410
32 333
34 314
36 317
38 350
40 304
42 290
44 257
46 267
48 288
50 270
52 249
54 238
56 243
58 227
60 234
62 215
64 205
66 216
68 191
70 189
72 189
74 194
76 166
78 197
80 168
82 166
84 164
86 142
88 152
90 141
92 126
94 135
96 129
98 123
100 127
102 111
104 118
106 120
108 104
110 105
112 104
114 118
116 114
118 100
120 92
122 111
124 95
126 86
128 81
130 84
132 80
134 50
136 65
138 66
140 58
142 54
144 45
146 36
148 33
150 44
152 26
154 32
156 31
158 33
160 34
162 21
164 25
166 29
168 26
170 19
172 33
174 38
176 28
178 27
180 32
182 25
184 17
186 28
188 22
190 21
192 24
194 25
196 20
198 18
200 28
202 15
204 20
206 23
208 16
210 24
212 18
214 35
216 26
218 21
220 21
222 24
224 21
226 20
228 20
230 21
232 19
234 21
236 18
238 24
240 27
242 26
244 23
246 15
248 23
250 22
252 21
254 15
256 17
258 17
260 25
262 24
264 21
266 15
268 24
270 22
272 24
274 22
276 21
278 17
280 26
282 17
284 24
286 23
288 13
290 20
292 19
294 14
296 18
298 23
300 17
302 9
304 21
306 18
308 19
310 12
312 19
314 19
316 15
318 12
320 21
322 23
324 20
326 24
328 17
330 9
332 14
334 18
336 15
338 14
340 18
342 16
344 19
346 13
348 13
350 19
352 16
354 17
356 14
358 18
360 22
362 13
364 13
366 15
368 23
370 13
372 15
374 8
376 16
378 14
380 18
382 17
384 16
386 20
388 20
390 20
392 25
394 21
396 20
398 21
400 14
402 21
404 21
406 27
408 22
410 21
412 29
414 29
416 34
418 34
420 27
422 26
424 41
426 28
428 38
430 34
432 33
434 33
436 32
438 27
440 32
442 35
444 38
446 39
448 30
450 29
452 27
454 20
456 24
458 28
460 31
462 28
464 25
466 29
468 19
470 16
472 18
474 11
476 20
478 18
480 21
482 16
484 10
486 14
488 12
490 12
492 18
494 11
496 13
498 12
500 9
502 7
504 15
506 8
508 11
510 12
512 11
514 3
516 5
518 10
520 12
522 6
524 10
526 3
528 7
530 3
532 5
534 7
536 17
538 7
540 3
542 4
544 7
546 1
548 4
550 7
552 11
554 11
556 8
558 11
560 5
562 10
564 5
566 5
568 4
570 4
572 8
574 7
576 4
578 7
580 8
582 5
584 7
586 4
588 6
590 3
592 8
594 6
596 4
598 13
600 5
602 1
604 9
606 6
608 11
610 7
612 4
614 7
616 11
618 5
620 8
622 7
624 3
626 5
628 5
630 4
632 4
634 4
636 6
638 14
640 4
642 3
644 3
646 4
648 8
650 8
652 5
654 4
656 6
658 7
660 8
662 7
664 9
666 6
668 7
670 9
672 6
674 6
676 3
678 5
680 7
682 3
684 8
686 5
688 8
690 5
692 8
694 4
696 6
698 6
700 3
702 10
704 10
706 13
708 7
710 2
712 9
714 9
716 7
718 6
720 4
722 6
724 8
726 7
728 6
730 9
732 11
734 2
736 6
738 4
740 5
742 5
744 12
746 11
748 4
750 5
752 4
754 5
756 9
758 10
760 3
762 9
764 8
766 7
768 6
770 9
772 7
774 6
776 6
778 6
780 4
782 4
784 8
786 7
788 13
790 5
792 5
794 8
796 11
798 7
800 8
802 6
804 10
806 9
808 6
810 9
812 6
814 12
816 9
818 6
820 5
822 8
824 7
826 8
828 4
830 7
832 5
834 4
836 5
838 7
840 5
842 1
844 8
846 9
848 11
850 6
852 8
854 5
856 9
858 9
860 8
862 10
864 5
866 5
868 9
870 5
872 7
874 6
876 5
878 5
880 8
882 6
884 5
886 5
888 6
890 5
892 5
894 7
896 4
898 2
900 4
902 7
904 2
906 9
908 8
