Time 	 Efficiency 	 EfficiencyError 
0 	 0.0 	 10 
20 	 74.7279106154493 	 10 
40 	 79.80162805605144 	 10 
60 	 82.63108194732598 	 10 
80 	 84.49073276307718 	 10 
100 	 85.83343097993534 	 10 
120 	 86.8528615049524 	 10 
140 	 87.67998566318126 	 10 
160 	 88.3196283455449 	 10 
180 	 88.84416291588838 	 10 
200 	 89.25221083394793 	 10 
220 	 89.57409998552532 	 10 
240 	 89.81948015246655 	 10 
260 	 90.04556075571577 	 10 
280 	 90.23993493289956 	 10 
300 	 90.41569881652319 	 10 
320 	 90.55010649223537 	 10 
340 	 90.6693502250467 	 10 
360 	 90.77343001495716 	 10 
380 	 90.86027805157119 	 10 
400 	 90.95815441029494 	 10 
420 	 91.03397412479926 	 10 
440 	 91.1042796782487 	 10 
460 	 91.160799829061 	 10 
480 	 91.22421268119189 	 10 
500 	 91.27039378002632 	 10 
520 	 91.31588560872892 	 10 
540 	 91.34621349453063 	 10 
560 	 91.36895940888193 	 10 
580 	 91.39653021415623 	 10 
600 	 91.41789758824382 	 10 
620 	 91.4371971519358 	 10 
640 	 91.45994306628711 	 10 
660 	 91.48475679103397 	 10 
680 	 91.5006100040667 	 10 
700 	 91.51577394696756 	 10 
720 	 91.53024861973657 	 10 
740 	 91.54679110290114 	 10 
760 	 91.55575161461529 	 10 
780 	 91.56402285619757 	 10 
800 	 91.57091555751614 	 10 
820 	 91.57574044843915 	 10 
840 	 91.58332241988958 	 10 
860 	 91.59090439134002 	 10 
880 	 91.59986490305415 	 10 
900 	 91.60675760437273 	 10 
920 	 91.6122717654276 	 10 
940 	 91.6170966563506 	 10 
960 	 91.62123227714174 	 10 
980 	 91.62674643819659 	 10 
