Time 	 Efficiency 	 EfficiencyError 
0 	 0.0 	 10 
20 	 92.95860160736441 	 10 
40 	 94.29479226410884 	 10 
60 	 95.07903634928138 	 10 
80 	 95.61658431463835 	 10 
100 	 95.98710844790224 	 10 
120 	 96.27844024698409 	 10 
140 	 96.49993880592359 	 10 
160 	 96.69168024535225 	 10 
180 	 96.83110674886672 	 10 
200 	 96.93237694591164 	 10 
220 	 97.02524795599786 	 10 
240 	 97.10803994173364 	 10 
260 	 97.18099287988923 	 10 
280 	 97.23498765319518 	 10 
300 	 97.28466284463664 	 10 
320 	 97.32449898849791 	 10 
340 	 97.35761578279222 	 10 
360 	 97.3909725538568 	 10 
380 	 97.42264948752961 	 10 
400 	 97.45000683933796 	 10 
420 	 97.4684850506471 	 10 
440 	 97.48960300642898 	 10 
460 	 97.50424158941414 	 10 
480 	 97.51792026531831 	 10 
500 	 97.53375873215472 	 10 
520 	 97.54263787265393 	 10 
540 	 97.55223694346388 	 10 
560 	 97.56087610719283 	 10 
580 	 97.57023520123252 	 10 
600 	 97.57695455079947 	 10 
620 	 97.58463380744745 	 10 
640 	 97.59015327316317 	 10 
660 	 97.59471283179788 	 10 
680 	 97.59855246012185 	 10 
700 	 97.60407192583757 	 10 
720 	 97.60791155416155 	 10 
740 	 97.61127122894504 	 10 
760 	 97.61415095018802 	 10 
780 	 97.61679069466076 	 10 
800 	 97.61895048559299 	 10 
820 	 97.62063032298474 	 10 
840 	 97.62327006745747 	 10 
860 	 97.62542985838971 	 10 
880 	 97.62662974224095 	 10 
900 	 97.6273496725517 	 10 
920 	 97.62902950994344 	 10 
940 	 97.62974944025419 	 10 
960 	 97.63046937056494 	 10 
980 	 97.63190923118643 	 10 
