Time	Efficiency	XError
0	0	12.5
75	91.2203954437997	12.5
100	93.5863242352604	12.5
125	94.91461422738018	12.5
150	95.7223296797765	12.5
175	96.29099505695251	12.5
200	96.66747259832367	12.5
225	96.94917257683215	12.5
250	97.1255641521599	12.5
275	97.2966903073286	12.5
300	97.3809370298732	12.5
325	97.5231033741672	12.5
350	97.58979869618167	12.5
375	97.6775556988323	12.5
400	97.7134107027724	12.5
425	97.77408840174797	12.5
450	97.81796690307328	12.5
475	97.8478042839745	12.5
500	97.87237624471668	12.5
525	97.91098932588295	12.5
550	97.93205100651909	12.5
575	97.9601332473673	12.5
600	97.97680707787092	12.5
625	97.9618883874203	12.5
650	97.99523604842754	12.5
675	97.99874632853357	12.5
700	98.00488931871911	12.5
725	98.0180528691167	12.5
750	98.00488931871911	12.5
775	98.03735940969983	12.5
800	98.03033884948779	12.5
825	98.02858370943477	12.5
850	98.02068557919623	12.5
875	98.05315567017695	12.5
900	98.06105380041551	12.5
925	98.05666595028298	12.5
950	98.06368651049502	12.5
975	98.0464861379755	12.5
1200	98.05491081022996	12.5
