Energy 	 Probability 
0.0 0.0000
0.05 0.5057
0.064647 0.5665
0.079293 0.5665
0.093939 0.6122
0.108586 0.7338
0.123232 0.9353
0.137879 0.9544
0.152525 0.7871
0.167172 0.8669
0.181818 1.0000
0.196465 0.7452
0.211111 0.6806
0.225758 0.5399
0.240404 0.5399
0.255051 0.4905
0.269697 0.4905
0.284343 0.5133
0.29899 0.5323
0.313636 0.5323
0.328283 0.5513
0.342929 0.5513
0.357576 0.5057
0.372222 0.5057
0.386869 0.6045
0.401515 0.4867
0.416162 0.4715
0.430808 0.4715
0.445455 0.4715
0.460101 0.4867
0.474747 0.4677
0.489394 0.4677
0.50404 0.4373
0.518687 0.3992
0.533333 0.3992
0.54798 0.3993
0.562626 0.3764
0.577273 0.3726
0.591919 0.3726
0.606566 0.3764
0.621212 0.3764
0.635859 0.3764
0.650505 0.3764
0.665152 0.3536
0.679798 0.3688
0.694444 0.4030
0.709091 0.3802
0.723737 0.3422
0.738384 0.3498
0.75303 0.3384
0.767677 0.3384
0.782323 0.3042
0.79697 0.3042
0.811616 0.3042
0.826263 0.2738
0.840909 0.2662
0.855556 0.2662
0.870202 0.2661
0.884848 0.2814
0.899495 0.2813
0.914141 0.2928
0.928788 0.2928
0.943434 0.2928
0.958081 0.2852
0.972727 0.2852
0.987374 0.2890
1.00202 0.2890
1.01667 0.2890
1.03131 0.2548
1.04596 0.2548
1.06061 0.2738
1.07525 0.2623
1.0899 0.2776
1.10455 0.2852
1.11919 0.2852
1.13384 0.2243
1.14848 0.2167
1.16313 0.2167
1.17778 0.2205
1.19242 0.2129
1.20707 0.2129
1.22172 0.1901
1.23636 0.1901
1.25101 0.1825
1.26566 0.1673
1.2803 0.1521
1.29495 0.1292
1.3096 0.1293
1.32424 0.1255
1.33889 0.1255
1.35354 0.1103
1.36818 0.1103
1.38283 0.1102
1.39747 0.0761
1.41212 0.0646
1.42677 0.0647
1.44141 0.0608
1.45606 0.0456
1.47071 0.0456
1.48535 0.0495
1.5 0.0304
