energy 	 rate 	 negative_error 	 possitive_error 
0.0 	 0.0 	 0.0 	 0.0 
0.02 	 0.0 	 0.0 	 0.0 
0.04 	 0.0 	 0.0 	 0.0 
0.06 	 0.0 	 0.0 	 0.0 
0.08 	 0.0 	 0.0 	 0.0 
0.1 	 0.0 	 0.0 	 0.0 
0.12 	 0.0 	 0.0 	 0.0 
0.14 	 0.0 	 0.0 	 0.0 
0.16 	 0.0 	 0.0 	 0.0 
0.18 	 0.0 	 0.0 	 0.0 
0.2 	 0.0 	 0.0 	 0.0 
0.22 	 0.00013109076826367527 	 2.733431531349603e-05 	 2.733431531349603e-05 
0.24 	 0.00020518555538728833 	 3.4197592447469695e-05 	 3.4197592447469695e-05 
0.26 	 0.0001196915764012374 	 2.6118842662630005e-05 	 2.6118842662630005e-05 
0.28 	 0.00015958875883370638 	 3.0159441684381832e-05 	 3.0159441684381832e-05 
0.3 	 0.00010259277769364417 	 2.4181349519859684e-05 	 2.4181349519859684e-05 
0.32 	 0.00010829237726284191 	 2.4843974931818364e-05 	 2.4843974931818364e-05 
0.34 	 8.549398626200855e-05 	 2.2074451004906448e-05 	 2.2074451004906448e-05 
0.36 	 8.549398626200855e-05 	 2.2074451004906448e-05 	 2.2074451004906448e-05 
0.38 	 5.129638884682208e-05 	 1.7098796223734848e-05 	 1.7098796223734848e-05 
0.4 	 4.559678927762434e-05 	 1.6120899679906456e-05 	 1.6120899679906456e-05 
0.42 	 2.279839463881217e-05 	 1.1399197482489898e-05 	 1.1399197482489898e-05 
0.44 	 3.9897189708426595e-05 	 1.5079720842190914e-05 	 1.5079720842190914e-05 
0.46 	 2.8497994208009914e-05 	 1.274469022989594e-05 	 1.274469022989594e-05 
0.48 	 0.0 	 0.0 	 0.0 
0.5 	 1.709879688860383e-05 	 9.871994602591871e-06 	 9.871994602591871e-06 
0.52 	 5.129638884682208e-05 	 1.7098796223734848e-05 	 1.7098796223734848e-05 
0.54 	 1.7098795069614425e-05 	 9.871994602591871e-06 	 9.871994602591871e-06 
0.56 	 2.8497994208009914e-05 	 1.274469022989594e-05 	 1.274469022989594e-05 
0.58 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
0.6 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
0.62 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
0.64 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
0.66 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
0.68 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
