low_edge centre high_edge rate
0.0 2.5 5.0 0.0
5.0 7.5 10.0 0.13720999658107758
10.0 12.5 15.0 6.013000011444092
15.0 17.5 20.0 11.627699851989746
20.0 22.5 25.0 9.831879615783691
25.0 27.5 30.0 5.603360176086426
30.0 32.5 35.0 2.3343300819396973
35.0 37.5 40.0 0.7620700001716614
40.0 42.5 45.0 0.20687000453472137
45.0 47.5 50.0 0.05988999828696251
50.0 52.5 55.0 0.03210999816656113
55.0 57.5 60.0 0.03175999969244003
60.0 62.5 65.0 0.03620000183582306
65.0 67.5 70.0 0.04114000126719475
70.0 72.5 75.0 0.04532000049948692
75.0 77.5 80.0 0.04873000085353851
80.0 82.5 85.0 0.05104999989271164
85.0 87.5 90.0 0.05152999982237816
90.0 92.5 95.0 0.05132000148296356
95.0 97.5 100.0 0.048190001398324966
100.0 102.5 105.0 0.04495000094175339
105.0 107.5 110.0 0.041099999099969864
110.0 112.5 115.0 0.03740999847650528
115.0 117.5 120.0 0.03308999910950661
120.0 122.5 125.0 0.029820000752806664
125.0 127.5 130.0 0.026100000366568565
130.0 132.5 135.0 0.024480000138282776
135.0 137.5 140.0 0.02133999951183796
140.0 142.5 145.0 0.019659999758005142
145.0 147.5 150.0 0.01809000037610531
150.0 152.5 155.0 0.016349999234080315
155.0 157.5 160.0 0.01549999974668026
160.0 162.5 165.0 0.01448999997228384
165.0 167.5 170.0 0.01283000037074089
170.0 172.5 175.0 0.012210000306367874
175.0 177.5 180.0 0.011260000057518482
180.0 182.5 185.0 0.00965999998152256
185.0 187.5 190.0 0.008899999782443047
190.0 192.5 195.0 0.007590000052005053
195.0 197.5 200.0 0.006899999920278788
200.0 202.5 205.0 0.005919999908655882
205.0 207.5 210.0 0.0049299998208880424
210.0 212.5 215.0 0.004900000058114529
215.0 217.5 220.0 0.004459999967366457
220.0 222.5 225.0 0.003860000055283308
225.0 227.5 230.0 0.003100000089034438
230.0 232.5 235.0 0.003019999945536256
235.0 237.5 240.0 0.0025400000158697367
240.0 242.5 245.0 0.0024500000290572643
245.0 247.5 250.0 0.002219999907538295
250.0 252.5 255.0 0.0018500000005587935
255.0 257.5 260.0 0.0021800000686198473
260.0 262.5 265.0 0.0017300000181421638
265.0 267.5 270.0 0.0019499999471008778
270.0 272.5 275.0 0.0016299999551847577
275.0 277.5 280.0 0.0017000000225380063
280.0 282.5 285.0 0.001560000004246831
285.0 287.5 290.0 0.00139999995008111
290.0 292.5 295.0 0.0015399999683722854
295.0 297.5 300.0 0.001180000021122396
300.0 302.5 305.0 0.0014600000577047467
305.0 307.5 310.0 0.0012400000123307109
310.0 312.5 315.0 0.0012799999676644802
315.0 317.5 320.0 0.0012100000167265534
320.0 322.5 325.0 0.0010999999940395355
325.0 327.5 330.0 0.001069999998435378
330.0 332.5 335.0 0.0012000000569969416
335.0 337.5 340.0 0.0008900000248104334
340.0 342.5 345.0 0.0009399999980814755
345.0 347.5 350.0 0.0009699999936856329
350.0 352.5 355.0 0.0008500000112690032
355.0 357.5 360.0 0.0008200000156648457
360.0 362.5 365.0 0.0007900000200606883
365.0 367.5 370.0 0.0007999999797903001
370.0 372.5 375.0 0.0007600000244565308
375.0 377.5 380.0 0.0006900000153109431
380.0 382.5 385.0 0.0007300000288523734
385.0 387.5 390.0 0.0006099999882280827
390.0 392.5 395.0 0.000539999979082495
395.0 397.5 400.0 0.0006600000197067857
400.0 402.5 405.0 0.0006099999882280827
405.0 407.5 410.0 0.0006699999794363976
410.0 412.5 415.0 0.0004400000034365803
415.0 417.5 420.0 0.0006000000284984708
420.0 422.5 425.0 0.0003699999942909926
425.0 427.5 430.0 0.0004600000102072954
430.0 432.5 435.0 0.0005200000014156103
435.0 437.5 440.0 0.0004799999878741801
440.0 442.5 445.0 0.0002500000118743628
445.0 447.5 450.0 0.0004400000034365803
450.0 452.5 455.0 0.00039000000106170774
455.0 457.5 460.0 0.00039999998989515007
460.0 462.5 465.0 0.0003000000142492354
465.0 467.5 470.0 0.00033000000985339284
470.0 472.5 475.0 0.00033000000985339284
475.0 477.5 480.0 0.0003499999875202775
480.0 482.5 485.0 0.0003000000142492354
485.0 487.5 490.0 0.00033000000985339284
490.0 492.5 495.0 0.00026000000070780516
495.0 497.5 500.0 0.0003000000142492354
500.0 502.5 505.0 0.00033000000985339284
505.0 507.5 510.0 0.0002500000118743628
510.0 512.5 515.0 0.0002500000118743628
515.0 517.5 520.0 0.0002699999895412475
520.0 522.5 525.0 0.00023999999393709004
525.0 527.5 530.0 0.00026000000070780516
530.0 532.5 535.0 0.0002800000074785203
535.0 537.5 540.0 0.0001900000061141327
540.0 542.5 545.0 0.00018000000272877514
