low_edge centre high_edge rate neg_error pos_error bin_error
0.0 0.5 1.0 0.0 0.0 0.0 0.5
1.0 1.5 2.0 0.0 0.0 0.0 0.5
2.0 2.5 3.0 136.22262573242188 0.0033271609519228253 0.0033271609519228253 0.5
3.0 3.5 4.0 60.79636764526367 0.0037284447159640173 0.0037284447159640173 0.5
4.0 4.5 5.0 27.63779640197754 0.00473576815310885 0.00473576815310885 0.5
5.0 5.5 6.0 14.42507553100586 0.005874921276068302 0.005874921276068302 0.5
6.0 6.5 7.0 9.713567733764648 0.006830344061612125 0.006830344061612125 0.5
7.0 7.5 8.0 8.352470397949219 0.007473633654387938 0.007473633654387938 0.5
8.0 8.5 9.0 7.7306671142578125 0.007679068953981336 0.007679068953981336 0.5
9.0 9.5 10.0 7.044354438781738 0.007477426027718363 0.007477426027718363 0.5
10.0 10.5 11.0 6.009539604187012 0.00689793447344928 0.00689793447344928 0.5
11.0 11.5 12.0 4.718580722808838 0.006053445299992394 0.006053445299992394 0.5
12.0 12.5 13.0 3.55989933013916 0.0050818107009214745 0.0050818107009214745 0.5
13.0 13.5 14.0 2.5393500328063965 0.0040998292647377406 0.0040998292647377406 0.5
14.0 14.5 15.0 1.776867389678955 0.0031788519940380996 0.0031788519940380996 0.5
15.0 15.5 16.0 1.2699990272521973 0.002368058276309939 0.002368058276309939 0.5
16.0 16.5 17.0 0.9634894728660583 0.001731502237942533 0.001731502237942533 0.5
17.0 17.5 18.0 0.7623655200004578 0.0012367295581492343 0.0012367295581492343 0.5
18.0 18.5 19.0 0.6444734930992126 0.0008671216754296944 0.0008671216754296944 0.5
19.0 19.5 20.0 0.5890803933143616 0.0006341923998283172 0.0006341923998283172 0.5
20.0 20.5 21.0 0.5381929874420166 0.0005065570056765577 0.0005065570056765577 0.5
21.0 21.5 22.0 0.5361185669898987 0.0004623851208678757 0.0004623851208678757 0.5
22.0 22.5 23.0 0.50860196352005 0.00044866468548349114 0.00044866468548349114 0.5
23.0 23.5 24.0 0.4925216734409332 0.0004691481642295961 0.0004691481642295961 0.5
24.0 24.5 25.0 0.4867452085018158 0.0004946716082412655 0.0004946716082412655 0.5
25.0 25.5 26.0 0.49034902453422546 0.0005145872132107444 0.0005145872132107444 0.5
26.0 26.5 27.0 0.4940750002861023 0.0005340411969127476 0.0005340411969127476 0.5
27.0 27.5 28.0 0.4840739667415619 0.0005598214000911363 0.0005598214000911363 0.5
28.0 28.5 29.0 0.4628983438014984 0.0005685068161420759 0.0005685068161420759 0.5
29.0 29.5 30.0 0.4641910195350647 0.0005877924803874239 0.0005877924803874239 0.5
30.0 30.5 31.0 0.4538736045360565 0.0006029096117993144 0.0006029096117993144 0.5
31.0 31.5 32.0 0.4504387676715851 0.000611391854705311 0.000611391854705311 0.5
32.0 32.5 33.0 0.43935614824295044 0.0006043177971895252 0.0006043177971895252 0.5
33.0 33.5 34.0 0.4275859296321869 0.0005984981202978002 0.0005984981202978002 0.5
34.0 34.5 35.0 0.42567259073257446 0.0005925369186810219 0.0005925369186810219 0.5
35.0 35.5 36.0 0.4199363887310028 0.0005841232746604094 0.0005841232746604094 0.5
36.0 36.5 37.0 0.43231475353240967 0.0005754128952326321 0.0005754128952326321 0.5
37.0 37.5 38.0 0.4100368320941925 0.0005565968020030299 0.0005565968020030299 0.5
38.0 38.5 39.0 0.4011192321777344 0.00054644304369257 0.00054644304369257 0.5
39.0 39.5 40.0 0.3911031186580658 0.0005275414675643992 0.0005275414675643992 0.5
40.0 40.5 41.0 0.3713327646255493 0.0005034878350069642 0.0005034878350069642 0.5
