low_edge centre high_edge rate neg_error pos_error bin_error
0.0 0.5 1.0 0.0 0.0 0.0 0.5
1.0 1.5 2.0 0.0 0.0 0.0 0.5
2.0 2.5 3.0 0.0 0.0 0.0 0.5
3.0 3.5 4.0 0.0 0.0 0.0 0.5
4.0 4.5 5.0 24.706148147583008 4.533722666306462e-05 4.533722666306462e-05 0.5
5.0 5.5 6.0 82.80504608154297 8.382922687034505e-05 8.382922687034505e-05 0.5
6.0 6.5 7.0 95.89081573486328 9.06703288662926e-05 9.06703288662926e-05 0.5
7.0 7.5 8.0 74.13375091552734 7.905917205523471e-05 7.905917205523471e-05 0.5
8.0 8.5 9.0 51.99176788330078 6.364771781334751e-05 6.364771781334751e-05 0.5
9.0 9.5 10.0 38.71000671386719 5.136389105276888e-05 5.136389105276888e-05 0.5
10.0 10.5 11.0 31.699460983276367 4.316660473153307e-05 4.316660473153307e-05 0.5
11.0 11.5 12.0 28.54051399230957 3.823152760610758e-05 3.823152760610758e-05 0.5
12.0 12.5 13.0 27.400720596313477 3.54589751008925e-05 3.54589751008925e-05 0.5
13.0 13.5 14.0 27.44495964050293 3.41405389092525e-05 3.41405389092525e-05 0.5
14.0 14.5 15.0 28.122169494628906 3.358361572973481e-05 3.358361572973481e-05 0.5
15.0 15.5 16.0 29.039609909057617 3.321401643431809e-05 3.321401643431809e-05 0.5
16.0 16.5 17.0 29.566617965698242 3.2910529108741374e-05 3.2910529108741374e-05 0.5
17.0 17.5 18.0 29.702417373657227 3.237372211800528e-05 3.237372211800528e-05 0.5
18.0 18.5 19.0 29.297840118408203 3.154489109791753e-05 3.154489109791753e-05 0.5
19.0 19.5 20.0 28.050926208496094 3.036591428137654e-05 3.036591428137654e-05 0.5
20.0 20.5 21.0 26.06301498413086 2.8979394103210652e-05 2.8979394103210652e-05 0.5
21.0 21.5 22.0 23.82021713256836 2.7327755768839998e-05 2.7327755768839998e-05 0.5
22.0 22.5 23.0 21.024307250976562 2.543542882608217e-05 2.543542882608217e-05 0.5
23.0 23.5 24.0 18.055814743041992 2.3455916589262977e-05 2.3455916589262977e-05 0.5
24.0 24.5 25.0 15.332046508789062 2.1485142980068007e-05 2.1485142980068007e-05 0.5
25.0 25.5 26.0 12.777263641357422 1.957365490046578e-05 1.957365490046578e-05 0.5
26.0 26.5 27.0 10.520062446594238 1.773382476934535e-05 1.773382476934535e-05 0.5
27.0 27.5 28.0 8.483668327331543 1.607449314037478e-05 1.607449314037478e-05 0.5
28.0 28.5 29.0 6.8476080894470215 1.4623203934819997e-05 1.4623203934819997e-05 0.5
29.0 29.5 30.0 5.4821248054504395 1.3380258177990082e-05 1.3380258177990082e-05 0.5
30.0 30.5 31.0 4.4791669845581055 1.2277700814837507e-05 1.2277700814837507e-05 0.5
31.0 31.5 32.0 3.708847761154175 1.1520625176716604e-05 1.1520625176716604e-05 0.5
32.0 32.5 33.0 3.082690477371216 1.0784810774827959e-05 1.0784810774827959e-05 0.5
33.0 33.5 34.0 2.6862142086029053 1.0345634046670217e-05 1.0345634046670217e-05 0.5
34.0 34.5 35.0 2.356096029281616 9.948547312060533e-06 9.948547312060533e-06 0.5
35.0 35.5 36.0 2.1082818508148193 9.57691387266006e-06 9.57691387266006e-06 0.5
36.0 36.5 37.0 1.9755659103393555 9.365636526205799e-06 9.365636526205799e-06 0.5
37.0 37.5 38.0 1.8436214923858643 9.114143290468481e-06 9.114143290468481e-06 0.5
38.0 38.5 39.0 1.8020833730697632 9.011982594813268e-06 9.011982594813268e-06 0.5
39.0 39.5 40.0 1.6923869848251343 8.83710068142681e-06 8.83710068142681e-06 0.5
