Threshold	Rate	XError
0	276.814703180139	1
2	276.814703180139	1
4	276.814703180139	1
6	240.26871175443978	1
8	182.60926978274983	1
10	153.44772364965195	1
12	135.98787128894364	1
14	121.37824914147241	1
16	107.06281360292512	1
18	92.94659805554535	1
20	79.8885927021644	1
22	68.90208320086504	1
24	60.4726003352993	1
26	54.49242120939557	1
28	50.46308528505356	1
30	47.77333205994142	1
32	45.90185418923929	1
34	44.49534439788782	1
36	43.342578146314075	1
38	42.324527677110865	1
40	41.384674466138186	1
42	40.50819208656006	1
44	39.678369004228266	1
46	38.883628578532175	1
48	38.119645471221666	1
50	37.382516469303646	1
52	36.67358312154018	1
54	35.98935277511968	1
56	35.323308509978105	1
58	34.67750312702295	1
