Threshold	Rate
0	276.814703180139
1	276.814703180139
2	276.814703180139
3	276.814703180139
4	276.814703180139
5	268.42327519562156
6	240.26871175443978
7	207.67538558482264
8	182.60926978274983
9	165.54025914975
10	153.44772364965195
11	144.04228718983074
12	135.98787128894364
13	128.56337035722646
14	121.37824914147241
15	114.22673603522334
16	107.06281360292512
17	99.93476603493676
18	92.94659805554535
19	86.21009190233535
20	79.8885927021644
21	74.09244862325062
22	68.90208320086504
23	64.3534059945441
24	60.4726003352993
25	57.207710121289196
26	54.49242120939557
27	52.26851500937477
28	50.46308528505356
29	48.987647643512936
30	47.77333205994142
31	46.76255024071202
32	45.90185418923929
33	45.16018589517374
34	44.49534439788782
35	43.89497241417228
36	43.342578146314075
37	42.8180094501933
38	42.324527677110865
39	41.844455609111364
40	41.384674466138186
41	40.939956834049475
42	40.50819208656006
43	40.08814854312546
44	39.678369004228266
45	39.27489243149769
46	38.883628578532175
47	38.49891055831952
48	38.119645471221666
49	37.747296299293794
50	37.382516469303646
51	37.02615023176527
52	36.67358312154018
53	36.32885134999011
54	35.98935277511968
55	35.6544224050856
56	35.323308509978105
57	34.999301353786926
