Low	Centre	Weight	Normed
0.0	0.005	0.0	0.0
0.01	0.015	0.0	0.0
0.02	0.025	0.0	0.0
0.03	0.035	0.0	0.0
0.04	0.045	0.0	0.0
0.05	0.055	0.0	0.0
0.06	0.065	0.0	0.0
0.07	0.07500000000000001	0.0	0.0
0.08	0.08499999999999999	0.0	0.0
0.09	0.095	0.0	0.0
0.1	0.10500000000000001	0.0	0.0
0.11	0.11499999999999999	0.0	0.0
0.12	0.125	0.0	0.0
0.13	0.135	0.0	0.0
0.14	0.14500000000000002	4.0	0.0023767082020640373
0.15	0.155	45.0	0.026737967506051064
0.16	0.165	275.0	0.16339869797229767
0.17	0.175	717.0	0.4260249435901642
0.18	0.185	1249.0	0.7421271800994873
0.19	0.195	1600.0	0.9506832957267761
0.2	0.20500000000000002	1683.0	1.0
0.21	0.215	1558.0	0.9257278442382812
0.22	0.225	1396.0	0.8294711709022522
0.23	0.235	1263.0	0.7504456043243408
0.24	0.245	1080.0	0.6417112350463867
0.25	0.255	1006.0	0.5977421402931213
0.26	0.265	936.0	0.5561497211456299
0.27	0.275	891.0	0.529411792755127
0.28	0.28500000000000003	838.0	0.4979203939437866
0.29	0.295	782.0	0.46464645862579346
0.3	0.305	636.0	0.37789660692214966
0.31	0.315	635.0	0.3773024380207062
0.32	0.325	590.0	0.35056447982788086
0.33	0.335	519.0	0.3083778917789459
0.34	0.34500000000000003	504.0	0.29946523904800415
0.35000000000000003	0.355	511.0	0.3036244809627533
0.36	0.365	416.0	0.24717766046524048
0.37	0.375	398.0	0.23648247122764587
0.38	0.385	360.0	0.2139037400484085
0.39	0.395	359.0	0.21330957114696503
0.4	0.405	307.0	0.18241235613822937
0.41000000000000003	0.41500000000000004	310.0	0.1841948926448822
0.42	0.425	317.0	0.18835413455963135
0.43	0.435	304.0	0.18062983453273773
0.44	0.445	228.0	0.135472372174263
0.45	0.455	256.0	0.1521093249320984
0.46	0.465	251.0	0.1491384506225586
0.47000000000000003	0.475	206.0	0.12240047752857208
0.48	0.485	212.0	0.12596553564071655
0.49	0.495	169.0	0.1004159227013588
0.5	0.505	185.0	0.10992275923490524
0.51	0.515	174.0	0.10338681191205978
0.52	0.525	160.0	0.09506832808256149
0.53	0.535	155.0	0.0920974463224411
0.54	0.545	137.0	0.0814022570848465
0.55	0.555	142.0	0.08437314629554749
0.56	0.5650000000000001	137.0	0.0814022570848465
0.5700000000000001	0.575	112.0	0.06654783338308334
0.58	0.585	111.0	0.06595365703105927
0.59	0.595	100.0	0.05941770598292351
0.6	0.605	95.0	0.05644682049751282
0.61	0.615	92.0	0.05466429144144058
0.62	0.625	95.0	0.05644682049751282
0.63	0.635	88.0	0.05228758230805397
0.64	0.645	76.0	0.04515745863318443
0.65	0.655	74.0	0.04396910220384598
0.66	0.665	92.0	0.05466429144144058
0.67	0.675	81.0	0.048128340393304825
0.68	0.685	79.0	0.04693998768925667
0.6900000000000001	0.6950000000000001	58.0	0.03446226939558983
0.7000000000000001	0.7050000000000001	60.0	0.035650622099637985
0.71	0.715	71.0	0.04218657314777374
0.72	0.725	68.0	0.04040404036641121
0.73	0.735	54.0	0.03208556026220322
0.74	0.745	55.0	0.03267974033951759
0.75	0.755	59.0	0.03505644574761391
0.76	0.765	41.0	0.0243612602353096
0.77	0.775	48.0	0.028520498424768448
0.78	0.785	45.0	0.026737967506051064
0.79	0.795	42.0	0.02495543658733368
0.8	0.805	44.0	0.026143791154026985
0.81	0.8150000000000001	41.0	0.0243612602353096
0.8200000000000001	0.8250000000000001	42.0	0.02495543658733368
0.8300000000000001	0.835	30.0	0.017825311049818993
0.84	0.845	38.0	0.022578729316592216
0.85	0.855	31.0	0.01841948926448822
0.86	0.865	47.0	0.02792632207274437
0.87	0.875	31.0	0.01841948926448822
0.88	0.885	41.0	0.0243612602353096
0.89	0.895	41.0	0.0243612602353096
0.9	0.905	31.0	0.01841948926448822
0.91	0.915	36.0	0.02139037474989891
0.92	0.925	20.0	0.011883541010320187
0.93	0.935	20.0	0.011883541010320187
