Low	Centre	Weight	Normed
0.0	0.5	0.0	0.0
1.0	1.5	0.0	0.0
2.0	2.5	0.0	0.0
3.0	3.5	0.0	0.0
4.0	4.5	0.0	0.0
5.0	5.5	0.0	0.0
6.0	6.5	0.0	0.0
7.0	7.5	0.0	0.0
8.0	8.5	1.0	0.0002957704709842801
9.0	9.5	0.0	0.0
10.0	10.5	0.0	0.0
11.0	11.5	1.0	0.0002957704709842801
12.0	12.5	3.0	0.0008873114711605012
13.0	13.5	5.0	0.0014788523549214005
14.0	14.5	2.0	0.0005915409419685602
15.0	15.5	7.0	0.0020703934133052826
16.0	16.5	9.0	0.002661934355273843
17.0	17.5	10.0	0.002957704709842801
18.0	18.5	20.0	0.005915409419685602
19.0	19.5	15.0	0.0044365571811795235
20.0	20.5	16.0	0.004732327535748482
21.0	21.5	12.0	0.003549245884642005
22.0	22.5	20.0	0.005915409419685602
23.0	23.5	15.0	0.0044365571811795235
24.0	24.5	14.0	0.004140786826610565
25.0	25.5	17.0	0.005028098355978727
26.0	26.5	14.0	0.004140786826610565
27.0	27.5	12.0	0.003549245884642005
28.0	28.5	22.0	0.006506950594484806
29.0	29.5	15.0	0.0044365571811795235
30.0	30.5	21.0	0.006211180239915848
31.0	31.5	11.0	0.003253475297242403
32.0	32.5	12.0	0.003549245884642005
33.0	33.5	10.0	0.002957704709842801
34.0	34.5	10.0	0.002957704709842801
35.0	35.5	10.0	0.002957704709842801
36.0	36.5	10.0	0.002957704709842801
37.0	37.5	17.0	0.005028098355978727
38.0	38.5	11.0	0.003253475297242403
39.0	39.5	18.0	0.005323868710547686
40.0	40.5	17.0	0.005028098355978727
41.0	41.5	17.0	0.005028098355978727
42.0	42.5	15.0	0.0044365571811795235
43.0	43.5	16.0	0.004732327535748482
44.0	44.5	18.0	0.005323868710547686
45.0	45.5	15.0	0.0044365571811795235
46.0	46.5	18.0	0.005323868710547686
47.0	47.5	20.0	0.005915409419685602
48.0	48.5	16.0	0.004732327535748482
49.0	49.5	11.0	0.003253475297242403
50.0	50.5	19.0	0.005619639065116644
51.0	51.5	9.0	0.002661934355273843
52.0	52.5	17.0	0.005028098355978727
53.0	53.5	19.0	0.005619639065116644
54.0	54.5	22.0	0.006506950594484806
55.0	55.5	25.0	0.007394262123852968
56.0	56.5	32.0	0.009464655071496964
57.0	57.5	22.0	0.006506950594484806
58.0	58.5	25.0	0.007394262123852968
59.0	59.5	21.0	0.006211180239915848
60.0	60.5	35.0	0.010351967066526413
61.0	61.5	33.0	0.009760426357388496
62.0	62.5	23.0	0.006802720949053764
63.0	63.5	35.0	0.010351967066526413
64.0	64.5	37.0	0.01094350777566433
65.0	65.5	38.0	0.011239278130233288
66.0	66.5	36.0	0.010647737421095371
67.0	67.5	35.0	0.010351967066526413
68.0	68.5	34.0	0.010056196711957455
69.0	69.5	37.0	0.01094350777566433
70.0	70.5	38.0	0.011239278130233288
71.0	71.5	46.0	0.013605441898107529
72.0	72.5	55.0	0.016267376020550728
73.0	73.5	47.0	0.013901212252676487
74.0	74.5	52.0	0.015380064956843853
75.0	75.5	51.0	0.015084294602274895
76.0	76.5	49.0	0.014492753893136978
77.0	77.5	60.0	0.017746228724718094
78.0	78.5	68.0	0.02011239342391491
79.0	79.5	65.0	0.01922508142888546
80.0	80.5	49.0	0.014492753893136978
81.0	81.5	74.0	0.02188701555132866
82.0	82.5	53.0	0.01567583531141281
83.0	83.5	66.0	0.019520852714776993
84.0	84.5	67.0	0.019816622138023376
85.0	85.5	88.0	0.026027802377939224
86.0	86.5	81.0	0.02395740896463394
87.0	87.5	86.0	0.025436261668801308
88.0	88.5	103.0	0.030464360490441322
89.0	89.5	98.0	0.028985507786273956
90.0	90.5	94.0	0.027802424505352974
91.0	91.5	125.0	0.0369713120162487
92.0	92.5	128.0	0.037858620285987854
93.0	93.5	134.0	0.03963324427604675
94.0	94.5	129.0	0.038154393434524536
95.0	95.5	158.0	0.04673173651099205
96.0	96.5	168.0	0.04968944191932678
97.0	97.5	198.0	0.05856255441904068
98.0	98.5	213.0	0.06299911439418793
99.0	99.5	191.0	0.0564921610057354
100.0	100.5	226.0	0.06684412807226181
101.0	101.5	291.0	0.08606921136379242
102.0	102.5	299.0	0.08843537420034409
103.0	103.5	272.0	0.08044957369565964
104.0	104.5	350.0	0.10351967066526413
105.0	105.5	409.0	0.12097012996673584
106.0	106.5	413.0	0.12215320765972137
107.0	107.5	480.0	0.14196982979774475
108.0	108.5	547.0	0.16178645193576813
109.0	109.5	606.0	0.17923691868782043
110.0	110.5	755.0	0.22330671548843384
111.0	111.5	879.0	0.25998225808143616
112.0	112.5	950.0	0.28098195791244507
113.0	113.5	1169.0	0.3457556962966919
114.0	114.5	1477.0	0.43685299158096313
115.0	115.5	1762.0	0.521147608757019
116.0	116.5	2187.0	0.646850049495697
117.0	117.5	2894.0	0.8559597730636597
118.0	118.5	3381.0	1.0
119.0	119.5	3064.0	0.9062407612800598
