Low	Centre	Weight	Normed
0.0	0.5	0.0	0.0
1.0	1.5	0.0	0.0
2.0	2.5	0.0	0.0
3.0	3.5	0.0	0.0
4.0	4.5	0.0	0.0
5.0	5.5	0.0	0.0
6.0	6.5	0.0	0.0
7.0	7.5	0.0	0.0
8.0	8.5	0.0	0.0
9.0	9.5	0.0	0.0
10.0	10.5	0.0	0.0
11.0	11.5	0.0	0.0
12.0	12.5	0.0	0.0
13.0	13.5	0.0	0.0
14.0	14.5	0.0	0.0
15.0	15.5	6.0	0.03351955488324165
16.0	16.5	8.0	0.044692736119031906
17.0	17.5	4.0	0.022346368059515953
18.0	18.5	6.0	0.03351955488324165
19.0	19.5	6.0	0.03351955488324165
20.0	20.5	11.0	0.06145251542329788
21.0	21.5	8.0	0.044692736119031906
22.0	22.5	11.0	0.06145251542329788
23.0	23.5	14.0	0.07821229100227356
24.0	24.5	10.0	0.05586592108011246
25.0	25.5	10.0	0.05586592108011246
26.0	26.5	13.0	0.07262569665908813
27.0	27.5	6.0	0.03351955488324165
28.0	28.5	9.0	0.05027933046221733
29.0	29.5	4.0	0.022346368059515953
30.0	30.5	5.0	0.02793296054005623
31.0	31.5	12.0	0.0670391097664833
32.0	32.5	10.0	0.05586592108011246
33.0	33.5	9.0	0.05027933046221733
34.0	34.5	6.0	0.03351955488324165
35.0	35.5	4.0	0.022346368059515953
36.0	36.5	6.0	0.03351955488324165
37.0	37.5	14.0	0.07821229100227356
38.0	38.5	5.0	0.02793296054005623
39.0	39.5	9.0	0.05027933046221733
40.0	40.5	8.0	0.044692736119031906
41.0	41.5	4.0	0.022346368059515953
42.0	42.5	9.0	0.05027933046221733
43.0	43.5	12.0	0.0670391097664833
44.0	44.5	8.0	0.044692736119031906
45.0	45.5	7.0	0.03910614550113678
46.0	46.5	6.0	0.03351955488324165
47.0	47.5	9.0	0.05027933046221733
48.0	48.5	10.0	0.05586592108011246
49.0	49.5	11.0	0.06145251542329788
50.0	50.5	13.0	0.07262569665908813
51.0	51.5	8.0	0.044692736119031906
52.0	52.5	7.0	0.03910614550113678
53.0	53.5	6.0	0.03351955488324165
54.0	54.5	10.0	0.05586592108011246
55.0	55.5	10.0	0.05586592108011246
56.0	56.5	7.0	0.03910614550113678
57.0	57.5	9.0	0.05027933046221733
58.0	58.5	11.0	0.06145251542329788
59.0	59.5	12.0	0.0670391097664833
60.0	60.5	11.0	0.06145251542329788
61.0	61.5	10.0	0.05586592108011246
62.0	62.5	16.0	0.08938547223806381
63.0	63.5	7.0	0.03910614550113678
64.0	64.5	8.0	0.044692736119031906
65.0	65.5	11.0	0.06145251542329788
66.0	66.5	18.0	0.10055866092443466
67.0	67.5	13.0	0.07262569665908813
68.0	68.5	11.0	0.06145251542329788
69.0	69.5	18.0	0.10055866092443466
70.0	70.5	16.0	0.08938547223806381
71.0	71.5	20.0	0.11173184216022491
72.0	72.5	16.0	0.08938547223806381
73.0	73.5	28.0	0.15642458200454712
74.0	74.5	21.0	0.11731843650341034
75.0	75.5	23.0	0.1284916251897812
76.0	76.5	27.0	0.1508379876613617
77.0	77.5	36.0	0.20111732184886932
78.0	78.5	36.0	0.20111732184886932
79.0	79.5	31.0	0.1731843501329422
80.0	80.5	55.0	0.3072625696659088
81.0	81.5	45.0	0.25139665603637695
82.0	82.5	54.0	0.3016759753227234
83.0	83.5	50.0	0.2793295979499817
84.0	84.5	85.0	0.4748603403568268
85.0	85.5	113.0	0.6312848925590515
86.0	86.5	110.0	0.6145251393318176
87.0	87.5	128.0	0.7150837779045105
88.0	88.5	134.0	0.748603343963623
89.0	89.5	161.0	0.8994413614273071
90.0	90.5	137.0	0.7653631567955017
91.0	91.5	163.0	0.910614550113678
92.0	92.5	179.0	1.0
93.0	93.5	172.0	0.9608938694000244
94.0	94.5	166.0	0.9273743033409119
95.0	95.5	173.0	0.9664804339408875
96.0	96.5	142.0	0.7932960987091064
97.0	97.5	131.0	0.7318435907363892
98.0	98.5	103.0	0.575419008731842
99.0	99.5	73.0	0.4078212380409241
100.0	100.5	80.0	0.44692736864089966
101.0	101.5	37.0	0.20670391619205475
102.0	102.5	30.0	0.16759777069091797
103.0	103.5	16.0	0.08938547223806381
104.0	104.5	13.0	0.07262569665908813
105.0	105.5	6.0	0.03351955488324165
106.0	106.5	3.0	0.016759777441620827
107.0	107.5	0.0	0.0
108.0	108.5	0.0	0.0
109.0	109.5	1.0	0.005586592014878988
110.0	110.5	0.0	0.0
111.0	111.5	1.0	0.005586592014878988
112.0	112.5	0.0	0.0
113.0	113.5	0.0	0.0
114.0	114.5	0.0	0.0
115.0	115.5	0.0	0.0
116.0	116.5	0.0	0.0
117.0	117.5	0.0	0.0
118.0	118.5	0.0	0.0
119.0	119.5	0.0	0.0
