Low	Centre	Weight	Normed
0.0	0.5	0.0	0.0
1.0	1.5	0.0	0.0
2.0	2.5	0.0	0.0
3.0	3.5	0.0	0.0
4.0	4.5	0.0	0.0
5.0	5.5	0.0	0.0
6.0	6.5	0.0	0.0
7.0	7.5	0.0	0.0
8.0	8.5	0.0	0.0
9.0	9.5	0.0	0.0
10.0	10.5	0.0	0.0
11.0	11.5	0.0	0.0
12.0	12.5	0.0	0.0
13.0	13.5	0.0	0.0
14.0	14.5	0.0	0.0
15.0	15.5	48.0	0.9599999785423279
16.0	16.5	49.0	0.9800000190734863
17.0	17.5	39.0	0.7799999713897705
18.0	18.5	37.0	0.7400000095367432
19.0	19.5	43.0	0.8600000143051147
20.0	20.5	48.0	0.9599999785423279
21.0	21.5	50.0	1.0
22.0	22.5	35.0	0.699999988079071
23.0	23.5	28.0	0.5600000023841858
24.0	24.5	35.0	0.699999988079071
25.0	25.5	36.0	0.7200000286102295
26.0	26.5	23.0	0.46000000834465027
27.0	27.5	33.0	0.6600000262260437
28.0	28.5	20.0	0.4000000059604645
29.0	29.5	26.0	0.5199999809265137
30.0	30.5	20.0	0.4000000059604645
31.0	31.5	20.0	0.4000000059604645
32.0	32.5	26.0	0.5199999809265137
33.0	33.5	17.0	0.3400000035762787
34.0	34.5	16.0	0.3199999928474426
35.0	35.5	28.0	0.5600000023841858
36.0	36.5	18.0	0.36000001430511475
37.0	37.5	24.0	0.47999998927116394
38.0	38.5	18.0	0.36000001430511475
39.0	39.5	22.0	0.4399999976158142
40.0	40.5	19.0	0.3799999952316284
41.0	41.5	15.0	0.30000001192092896
42.0	42.5	17.0	0.3400000035762787
43.0	43.5	20.0	0.4000000059604645
44.0	44.5	22.0	0.4399999976158142
45.0	45.5	18.0	0.36000001430511475
46.0	46.5	16.0	0.3199999928474426
47.0	47.5	23.0	0.46000000834465027
48.0	48.5	20.0	0.4000000059604645
49.0	49.5	15.0	0.30000001192092896
50.0	50.5	11.0	0.2199999988079071
51.0	51.5	16.0	0.3199999928474426
52.0	52.5	17.0	0.3400000035762787
53.0	53.5	23.0	0.46000000834465027
54.0	54.5	20.0	0.4000000059604645
55.0	55.5	9.0	0.18000000715255737
56.0	56.5	12.0	0.23999999463558197
57.0	57.5	17.0	0.3400000035762787
58.0	58.5	12.0	0.23999999463558197
59.0	59.5	11.0	0.2199999988079071
60.0	60.5	10.0	0.20000000298023224
61.0	61.5	12.0	0.23999999463558197
62.0	62.5	8.0	0.1599999964237213
63.0	63.5	14.0	0.2800000011920929
64.0	64.5	16.0	0.3199999928474426
65.0	65.5	17.0	0.3400000035762787
66.0	66.5	13.0	0.25999999046325684
67.0	67.5	14.0	0.2800000011920929
68.0	68.5	14.0	0.2800000011920929
69.0	69.5	16.0	0.3199999928474426
70.0	70.5	15.0	0.30000001192092896
71.0	71.5	16.0	0.3199999928474426
72.0	72.5	13.0	0.25999999046325684
73.0	73.5	14.0	0.2800000011920929
74.0	74.5	17.0	0.3400000035762787
75.0	75.5	8.0	0.1599999964237213
76.0	76.5	13.0	0.25999999046325684
77.0	77.5	18.0	0.36000001430511475
78.0	78.5	12.0	0.23999999463558197
79.0	79.5	16.0	0.3199999928474426
80.0	80.5	16.0	0.3199999928474426
81.0	81.5	11.0	0.2199999988079071
82.0	82.5	11.0	0.2199999988079071
83.0	83.5	14.0	0.2800000011920929
84.0	84.5	21.0	0.41999998688697815
85.0	85.5	5.0	0.10000000149011612
86.0	86.5	11.0	0.2199999988079071
87.0	87.5	8.0	0.1599999964237213
88.0	88.5	8.0	0.1599999964237213
89.0	89.5	7.0	0.14000000059604645
90.0	90.5	6.0	0.11999999731779099
91.0	91.5	8.0	0.1599999964237213
92.0	92.5	11.0	0.2199999988079071
93.0	93.5	7.0	0.14000000059604645
94.0	94.5	5.0	0.10000000149011612
95.0	95.5	13.0	0.25999999046325684
96.0	96.5	10.0	0.20000000298023224
97.0	97.5	7.0	0.14000000059604645
98.0	98.5	9.0	0.18000000715255737
99.0	99.5	6.0	0.11999999731779099
100.0	100.5	6.0	0.11999999731779099
101.0	101.5	18.0	0.36000001430511475
102.0	102.5	5.0	0.10000000149011612
103.0	103.5	6.0	0.11999999731779099
104.0	104.5	11.0	0.2199999988079071
105.0	105.5	6.0	0.11999999731779099
106.0	106.5	10.0	0.20000000298023224
107.0	107.5	7.0	0.14000000059604645
108.0	108.5	9.0	0.18000000715255737
109.0	109.5	9.0	0.18000000715255737
110.0	110.5	7.0	0.14000000059604645
111.0	111.5	12.0	0.23999999463558197
112.0	112.5	8.0	0.1599999964237213
113.0	113.5	8.0	0.1599999964237213
114.0	114.5	4.0	0.07999999821186066
115.0	115.5	8.0	0.1599999964237213
116.0	116.5	2.0	0.03999999910593033
117.0	117.5	8.0	0.1599999964237213
118.0	118.5	15.0	0.30000001192092896
119.0	119.5	9.0	0.18000000715255737
120.0	120.5	4.0	0.07999999821186066
121.0	121.5	13.0	0.25999999046325684
122.0	122.5	10.0	0.20000000298023224
123.0	123.5	7.0	0.14000000059604645
124.0	124.5	8.0	0.1599999964237213
125.0	125.5	10.0	0.20000000298023224
126.0	126.5	13.0	0.25999999046325684
127.0	127.5	7.0	0.14000000059604645
128.0	128.5	19.0	0.3799999952316284
129.0	129.5	15.0	0.30000001192092896
130.0	130.5	12.0	0.23999999463558197
131.0	131.5	12.0	0.23999999463558197
132.0	132.5	7.0	0.14000000059604645
133.0	133.5	18.0	0.36000001430511475
134.0	134.5	6.0	0.11999999731779099
135.0	135.5	11.0	0.2199999988079071
136.0	136.5	7.0	0.14000000059604645
137.0	137.5	9.0	0.18000000715255737
138.0	138.5	11.0	0.2199999988079071
139.0	139.5	3.0	0.05999999865889549
140.0	140.5	9.0	0.18000000715255737
141.0	141.5	10.0	0.20000000298023224
142.0	142.5	10.0	0.20000000298023224
143.0	143.5	8.0	0.1599999964237213
144.0	144.5	13.0	0.25999999046325684
145.0	145.5	10.0	0.20000000298023224
146.0	146.5	8.0	0.1599999964237213
147.0	147.5	9.0	0.18000000715255737
