pulsearea weight xerror yerror
5.0 0.0 5.0 0.0
15.0 0.0 5.0 0.0
25.0 0.0 5.0 0.0
35.0 0.0 5.0 0.0
45.0 0.0 5.0 0.0
55.0 9.0 5.0 3.0
65.0 16.0 5.0 4.0
75.0 24.0 5.0 4.898979485566356
85.0 36.0 5.0 6.0
95.0 40.0 5.0 6.324555320336759
105.0 35.0 5.0 5.916079783099617
115.0 45.0 5.0 6.708203932499369
125.0 44.0 5.0 6.6332495807108
135.0 33.0 5.0 5.744562646538029
145.0 40.0 5.0 6.324555320336759
155.0 41.0 5.0 6.4031242374328485
165.0 41.0 5.0 6.4031242374328485
175.0 41.0 5.0 6.4031242374328485
185.0 46.0 5.0 6.782329983125268
195.0 37.0 5.0 6.082762530298219
205.0 50.0 5.0 7.0710678118654755
215.0 47.0 5.0 6.855654600401044
225.0 48.0 5.0 6.928203230275509
235.0 41.0 5.0 6.4031242374328485
245.0 54.0 5.0 7.3484692283495345
255.0 57.0 5.0 7.54983443527075
265.0 78.0 5.0 8.831760866327848
275.0 69.0 5.0 8.306623862918075
285.0 58.0 5.0 7.615773105863909
295.0 73.0 5.0 8.54400374531753
305.0 62.0 5.0 7.874007874011811
315.0 70.0 5.0 8.366600265340756
325.0 61.0 5.0 7.810249675906654
335.0 76.0 5.0 8.717797887081348
345.0 66.0 5.0 8.12403840463596
355.0 101.0 5.0 10.04987562112089
365.0 110.0 5.0 10.488088481701515
375.0 89.0 5.0 9.433981132056603
385.0 118.0 5.0 10.862780491200215
395.0 160.0 5.0 12.649110640673518
405.0 178.0 5.0 13.341664064126334
415.0 230.0 5.0 15.165750888103101
425.0 232.0 5.0 15.231546211727817
435.0 241.0 5.0 15.524174696260024
445.0 271.0 5.0 16.46207763315433
455.0 272.0 5.0 16.492422502470642
465.0 192.0 5.0 13.856406460551018
475.0 157.0 5.0 12.529964086141668
485.0 117.0 5.0 10.816653826391969
495.0 94.0 5.0 9.695359714832659
505.0 95.0 5.0 9.746794344808963
515.0 80.0 5.0 8.94427190999916
525.0 101.0 5.0 10.04987562112089
535.0 96.0 5.0 9.797958971132712
545.0 104.0 5.0 10.198039027185569
555.0 98.0 5.0 9.899494936611665
565.0 90.0 5.0 9.486832980505138
575.0 119.0 5.0 10.908712114635714
585.0 87.0 5.0 9.327379053088816
595.0 104.0 5.0 10.198039027185569
605.0 107.0 5.0 10.344080432788601
615.0 106.0 5.0 10.295630140987
625.0 126.0 5.0 11.224972160321824
635.0 137.0 5.0 11.704699910719626
645.0 141.0 5.0 11.874342087037917
655.0 129.0 5.0 11.357816691600547
665.0 132.0 5.0 11.489125293076057
675.0 115.0 5.0 10.723805294763608
685.0 143.0 5.0 11.958260743101398
695.0 144.0 5.0 12.0
705.0 138.0 5.0 11.74734012447073
715.0 162.0 5.0 12.727922061357855
725.0 161.0 5.0 12.688577540449522
735.0 154.0 5.0 12.409673645990857
745.0 167.0 5.0 12.922847983320086
755.0 136.0 5.0 11.661903789690601
765.0 148.0 5.0 12.165525060596439
775.0 169.0 5.0 13.0
785.0 161.0 5.0 12.68857754044952
795.0 169.0 5.0 13.0
805.0 139.0 5.0 11.789826122551595
815.0 166.0 5.0 12.884098726725126
825.0 188.0 5.0 13.711309200802088
835.0 195.0 5.0 13.96424004376894
845.0 181.0 5.0 13.45362404707371
855.0 179.0 5.0 13.379088160259652
865.0 211.0 5.0 14.52583904633395
875.0 201.0 5.0 14.177446878757825
885.0 198.0 5.0 14.071247279470288
895.0 202.0 5.0 14.212670403551895
905.0 227.0 5.0 15.066519173319364
915.0 257.0 5.0 16.0312195418814
925.0 216.0 5.0 14.696938456699069
935.0 219.0 5.0 14.798648586948742
945.0 198.0 5.0 14.071247279470288
955.0 213.0 5.0 14.594519519326424
965.0 226.0 5.0 15.033296378372908
975.0 233.0 5.0 15.264337522473747
985.0 232.0 5.0 15.231546211727817
995.0 225.0 5.0 15.0
1005.0 260.0 5.0 16.1245154965971
1015.0 249.0 5.0 15.7797338380595
1025.0 267.0 5.0 16.34013463836819
1035.0 240.0 5.0 15.491933384829666
1045.0 249.0 5.0 15.7797338380595
1055.0 256.0 5.0 16.0
1065.0 263.0 5.0 16.217274740226856
1075.0 266.0 5.0 16.30950643030009
1085.0 249.0 5.0 15.7797338380595
1095.0 242.0 5.0 15.556349186104045
1105.0 289.0 5.0 17.0
1115.0 264.0 5.0 16.24807680927192
1125.0 253.0 5.0 15.905973720586866
1135.0 272.0 5.0 16.492422502470642
1145.0 264.0 5.0 16.24807680927192
1155.0 289.0 5.0 17.0
1165.0 276.0 5.0 16.61324772583615
1175.0 286.0 5.0 16.911534525287763
1185.0 297.0 5.0 17.233687939614086
1195.0 284.0 5.0 16.852299546352718
1205.0 269.0 5.0 16.401219466856727
1215.0 295.0 5.0 17.175564037317667
1225.0 311.0 5.0 17.635192088548397
1235.0 317.0 5.0 17.804493814764857
