pulsearea weight xerror yerror
5.0 0.0 5.0 0.0
15.0 0.0 5.0 0.0
25.0 0.0 5.0 0.0
35.0 0.0 5.0 0.0
45.0 0.0 5.0 0.0
55.0 1146.0 5.0 33.85262175962151
65.0 1053.0 5.0 32.449961479175904
75.0 993.0 5.0 31.51190251317746
85.0 932.0 5.0 30.528675044947494
95.0 895.0 5.0 29.916550603303182
105.0 845.0 5.0 29.068883707497267
115.0 727.0 5.0 26.962937525425527
125.0 693.0 5.0 26.324893162176366
135.0 645.0 5.0 25.39685019840059
145.0 616.0 5.0 24.819347291981714
155.0 617.0 5.0 24.839484696748443
165.0 541.0 5.0 23.259406699226016
175.0 574.0 5.0 23.958297101421877
185.0 564.0 5.0 23.748684174075834
195.0 559.0 5.0 23.643180835073778
205.0 562.0 5.0 23.706539182259394
215.0 555.0 5.0 23.558437978779494
225.0 503.0 5.0 22.427661492005804
235.0 533.0 5.0 23.08679276123039
245.0 521.0 5.0 22.825424421026653
255.0 509.0 5.0 22.561028345356956
265.0 562.0 5.0 23.706539182259394
275.0 490.0 5.0 22.135943621178654
285.0 473.0 5.0 21.748563170931547
295.0 474.0 5.0 21.77154105707724
305.0 500.0 5.0 22.360679774997898
315.0 452.0 5.0 21.2602916254693
325.0 449.0 5.0 21.18962010041709
335.0 431.0 5.0 20.760539492026695
345.0 420.0 5.0 20.493901531919196
355.0 402.0 5.0 20.049937655763422
365.0 395.0 5.0 19.87460691435179
375.0 419.0 5.0 20.46948949045872
385.0 470.0 5.0 21.6794833886788
395.0 476.0 5.0 21.817424229271428
405.0 502.0 5.0 22.40535650240808
415.0 556.0 5.0 23.57965224510319
425.0 576.0 5.0 24.0
435.0 582.0 5.0 24.124676163629637
445.0 546.0 5.0 23.366642891095847
455.0 523.0 5.0 22.869193252058544
465.0 459.0 5.0 21.42428528562855
475.0 384.0 5.0 19.595917942265423
485.0 373.0 5.0 19.313207915827967
495.0 306.0 5.0 17.4928556845359
505.0 308.0 5.0 17.549928774784245
515.0 276.0 5.0 16.61324772583615
525.0 301.0 5.0 17.349351572897472
535.0 245.0 5.0 15.652475842498529
545.0 238.0 5.0 15.427248620541512
555.0 254.0 5.0 15.937377450509228
565.0 243.0 5.0 15.588457268119896
575.0 259.0 5.0 16.09347693943108
585.0 250.0 5.0 15.811388300841896
595.0 258.0 5.0 16.06237840420901
605.0 219.0 5.0 14.798648586948742
615.0 255.0 5.0 15.968719422671311
625.0 221.0 5.0 14.866068747318506
635.0 221.0 5.0 14.866068747318506
645.0 213.0 5.0 14.594519519326424
655.0 224.0 5.0 14.966629547095765
665.0 223.0 5.0 14.933184523068078
675.0 197.0 5.0 14.035668847618199
685.0 215.0 5.0 14.66287829861518
695.0 226.0 5.0 15.033296378372908
705.0 172.0 5.0 13.114877048604
715.0 209.0 5.0 14.45683229480096
725.0 177.0 5.0 13.30413469565007
735.0 201.0 5.0 14.177446878757825
745.0 211.0 5.0 14.52583904633395
755.0 177.0 5.0 13.30413469565007
765.0 176.0 5.0 13.2664991614216
775.0 192.0 5.0 13.856406460551018
785.0 183.0 5.0 13.527749258468683
795.0 174.0 5.0 13.19090595827292
805.0 190.0 5.0 13.784048752090222
815.0 179.0 5.0 13.379088160259652
825.0 181.0 5.0 13.45362404707371
835.0 183.0 5.0 13.527749258468683
845.0 172.0 5.0 13.114877048604
855.0 150.0 5.0 12.24744871391589
865.0 165.0 5.0 12.84523257866513
875.0 191.0 5.0 13.820274961085254
885.0 174.0 5.0 13.19090595827292
895.0 183.0 5.0 13.527749258468683
905.0 150.0 5.0 12.24744871391589
915.0 190.0 5.0 13.784048752090222
925.0 156.0 5.0 12.489995996796797
935.0 147.0 5.0 12.12435565298214
945.0 166.0 5.0 12.884098726725126
955.0 161.0 5.0 12.68857754044952
965.0 156.0 5.0 12.489995996796797
975.0 151.0 5.0 12.288205727444508
985.0 175.0 5.0 13.228756555322953
995.0 169.0 5.0 13.0
1005.0 121.0 5.0 11.0
1015.0 156.0 5.0 12.489995996796797
1025.0 141.0 5.0 11.874342087037917
1035.0 143.0 5.0 11.958260743101398
1045.0 130.0 5.0 11.40175425099138
1055.0 124.0 5.0 11.135528725660043
1065.0 128.0 5.0 11.313708498984761
1075.0 150.0 5.0 12.24744871391589
1085.0 137.0 5.0 11.704699910719626
1095.0 128.0 5.0 11.313708498984761
1105.0 144.0 5.0 12.0
1115.0 152.0 5.0 12.328828005937952
1125.0 123.0 5.0 11.090536506409418
1135.0 148.0 5.0 12.165525060596439
1145.0 126.0 5.0 11.224972160321824
1155.0 107.0 5.0 10.344080432788601
1165.0 147.0 5.0 12.12435565298214
1175.0 119.0 5.0 10.908712114635714
1185.0 112.0 5.0 10.583005244258363
1195.0 111.0 5.0 10.535653752852738
1205.0 109.0 5.0 10.44030650891055
1215.0 128.0 5.0 11.313708498984761
1225.0 134.0 5.0 11.575836902790225
