pulsearea weight xerror yerror
5.0 0.0 5.0 0.0
15.0 0.0 5.0 0.0
25.0 0.0 5.0 0.0
35.0 0.0 5.0 0.0
45.0 0.0 5.0 0.0
55.0 2574.0 5.0 50.73460357586329
65.0 2470.0 5.0 49.69909455915671
75.0 2318.0 5.0 48.14561246884289
85.0 2195.0 5.0 46.850827100489916
95.0 2128.0 5.0 46.130250378683186
105.0 1943.0 5.0 44.07947368106838
115.0 1781.0 5.0 42.20189569201838
125.0 1633.0 5.0 40.4103947023535
135.0 1415.0 5.0 37.61648574760805
145.0 1440.0 5.0 37.94733192202055
155.0 1421.0 5.0 37.69615364994153
165.0 1356.0 5.0 36.823905279043935
175.0 1310.0 5.0 36.193922141707716
185.0 1232.0 5.0 35.09985754956849
195.0 1316.0 5.0 36.27671429443411
205.0 1255.0 5.0 35.4259791678367
215.0 1145.0 5.0 33.83784863137726
225.0 1183.0 5.0 34.39476704383968
235.0 1204.0 5.0 34.698703145794944
245.0 1136.0 5.0 33.704599092705436
255.0 1005.0 5.0 31.701734968294716
265.0 1030.0 5.0 32.09361307176243
275.0 1045.0 5.0 32.32645975048923
285.0 967.0 5.0 31.096623610932426
295.0 848.0 5.0 29.120439557122072
305.0 855.0 5.0 29.24038303442689
315.0 832.0 5.0 28.844410203711913
325.0 773.0 5.0 27.80287754891569
335.0 699.0 5.0 26.43860813280457
345.0 790.0 5.0 28.106938645110393
355.0 733.0 5.0 27.073972741361768
365.0 705.0 5.0 26.551836094703507
375.0 693.0 5.0 26.324893162176366
385.0 631.0 5.0 25.11971337416094
395.0 737.0 5.0 27.147743920996454
405.0 672.0 5.0 25.92296279363144
415.0 604.0 5.0 24.576411454889016
425.0 615.0 5.0 24.79919353527449
435.0 646.0 5.0 25.41653005427767
445.0 619.0 5.0 24.879710609249457
455.0 570.0 5.0 23.874672772626646
465.0 549.0 5.0 23.430749027719962
475.0 524.0 5.0 22.891046284519195
485.0 576.0 5.0 24.0
495.0 571.0 5.0 23.895606290697042
505.0 529.0 5.0 23.0
515.0 513.0 5.0 22.64950330581225
525.0 572.0 5.0 23.916521486202797
535.0 485.0 5.0 22.02271554554524
545.0 513.0 5.0 22.64950330581225
555.0 479.0 5.0 21.88606862823929
565.0 496.0 5.0 22.271057451320086
575.0 476.0 5.0 21.817424229271428
585.0 459.0 5.0 21.42428528562855
595.0 428.0 5.0 20.688160865577203
605.0 461.0 5.0 21.470910553583888
615.0 470.0 5.0 21.6794833886788
625.0 426.0 5.0 20.639767440550294
635.0 396.0 5.0 19.8997487421324
645.0 356.0 5.0 18.867962264113206
655.0 375.0 5.0 19.364916731037084
665.0 359.0 5.0 18.947295321496416
675.0 379.0 5.0 19.467922333931785
685.0 331.0 5.0 18.193405398660254
695.0 375.0 5.0 19.364916731037084
705.0 353.0 5.0 18.788294228055936
715.0 316.0 5.0 17.776388834631177
725.0 325.0 5.0 18.027756377319946
735.0 327.0 5.0 18.083141320025124
745.0 277.0 5.0 16.64331697709324
755.0 289.0 5.0 17.0
765.0 299.0 5.0 17.291616465790582
775.0 280.0 5.0 16.73320053068151
785.0 267.0 5.0 16.34013463836819
795.0 266.0 5.0 16.30950643030009
805.0 283.0 5.0 16.822603841260722
815.0 253.0 5.0 15.905973720586866
825.0 257.0 5.0 16.0312195418814
835.0 243.0 5.0 15.588457268119896
845.0 263.0 5.0 16.217274740226856
855.0 264.0 5.0 16.24807680927192
865.0 222.0 5.0 14.89966442575134
875.0 233.0 5.0 15.264337522473747
885.0 243.0 5.0 15.588457268119896
895.0 221.0 5.0 14.866068747318506
905.0 237.0 5.0 15.394804318340652
915.0 187.0 5.0 13.674794331177344
925.0 196.0 5.0 14.0
935.0 202.0 5.0 14.212670403551895
945.0 193.0 5.0 13.892443989449804
955.0 174.0 5.0 13.19090595827292
965.0 202.0 5.0 14.212670403551895
975.0 197.0 5.0 14.035668847618199
985.0 187.0 5.0 13.674794331177344
995.0 181.0 5.0 13.45362404707371
1005.0 160.0 5.0 12.649110640673518
1015.0 186.0 5.0 13.638181696985855
1025.0 157.0 5.0 12.529964086141668
1035.0 151.0 5.0 12.288205727444508
1045.0 155.0 5.0 12.449899597988733
1055.0 152.0 5.0 12.328828005937952
1065.0 156.0 5.0 12.489995996796797
1075.0 135.0 5.0 11.61895003862225
1085.0 133.0 5.0 11.532562594670797
1095.0 120.0 5.0 10.954451150103322
1105.0 115.0 5.0 10.723805294763608
1115.0 106.0 5.0 10.295630140987
1125.0 117.0 5.0 10.816653826391969
1135.0 126.0 5.0 11.224972160321824
1145.0 127.0 5.0 11.269427669584644
1155.0 108.0 5.0 10.392304845413264
1165.0 100.0 5.0 10.0
1175.0 106.0 5.0 10.295630140987
1185.0 93.0 5.0 9.643650760992955
1195.0 124.0 5.0 11.135528725660043
1205.0 105.0 5.0 10.246950765959598
1215.0 91.0 5.0 9.539392014169456
